GTS_USER_PROJECT_ID,GTS_USER_ID,GTS_USER_PROJECT_NAME,GTS_USER_PROJECT_SKILL_IDS,GTS_USER_PROJECT_START_DATE,GTS_USER_PROJECT_END_DATE,GTS_USER_TEAM_SIZE,GTS_PROJECT_DESCRIPTION,GTS_PROJECT_INSTITUTE_ID,GTS_PROJECT_COMPANY_ID
45,36,Content Marketing Campaign,13,04-05-2024,04-05-2024,1,"Created blog posts, videos, and infographics for a product launch.",97,492
46,690,Project on AI for Healthcare,5,03-11-2024,03-11-2024,3,Developed a model for predicting health outcomes using machine learning.,66,64
47,951,Cloud Architecture Design,17,5/13/2024,5/13/2024,9,Designed a scalable cloud system using AWS services for high uptime.,49,276
48,953,Content Marketing Campaign,11,03-07-2020,03-07-2020,3,"Created blog posts, videos, and infographics for a product launch.",89,70
49,800,E-commerce Website Development,12,06-06-2024,06-06-2024,8,Built a responsive web store with secure payments and user login.,65,146
50,134,E-commerce Website Development,10,04-07-2024,04-07-2024,5,Built a responsive web store with secure payments and user login.,100,439
51,170,Mobile App Prototype Design,5,11/20/2024,11/20/2024,7,Prototyped a mobile app with a strong focus on UX and accessibility.,26,220
52,723,E-commerce Website Development,11,04-01-2022,04-01-2022,5,Built a responsive web store with secure payments and user login.,89,366
53,150,Cloud Architecture Design,13,4/14/2020,4/14/2020,7,Designed a scalable cloud system using AWS services for high uptime.,21,356
54,125,E-commerce Website Development,9,06-02-2022,06-02-2022,1,Built a responsive web store with secure payments and user login.,95,113
55,777,Project on AI for Healthcare,9,12-01-2020,12-01-2020,1,Developed a model for predicting health outcomes using machine learning.,48,104
56,710,E-commerce Website Development,12,07-07-2024,07-07-2024,9,Built a responsive web store with secure payments and user login.,32,394
57,697,Mobile App Prototype Design,7,09-08-2020,09-08-2020,4,Prototyped a mobile app with a strong focus on UX and accessibility.,39,167
58,693,Content Marketing Campaign,5,6/15/2024,6/15/2024,2,"Created blog posts, videos, and infographics for a product launch.",59,30
59,821,Project on AI for Healthcare,1,12/28/2022,12/28/2022,4,Developed a model for predicting health outcomes using machine learning.,41,10
60,906,E-commerce Website Development,3,2/20/2023,2/20/2023,7,Built a responsive web store with secure payments and user login.,100,456
61,751,E-commerce Website Development,17,10-04-2021,10-04-2021,5,Built a responsive web store with secure payments and user login.,42,170
62,113,Network Security Assessment,12,9/28/2020,9/28/2020,2,Conducted audits and applied firewall and encryption strategies.,96,275
63,446,Mobile App Prototype Design,19,6/14/2023,6/14/2023,8,Prototyped a mobile app with a strong focus on UX and accessibility.,3,165
64,530,Mobile App Prototype Design,9,03-09-2022,03-09-2022,2,Prototyped a mobile app with a strong focus on UX and accessibility.,61,168
65,729,Content Marketing Campaign,14,1/25/2022,1/25/2022,10,"Created blog posts, videos, and infographics for a product launch.",51,453
66,950,E-commerce Website Development,14,9/21/2023,9/21/2023,9,Built a responsive web store with secure payments and user login.,82,35
67,634,E-commerce Website Development,10,10/19/2021,10/19/2021,8,Built a responsive web store with secure payments and user login.,47,437
68,11,Project on AI for Healthcare,2,09-11-2020,09-11-2020,3,Developed a model for predicting health outcomes using machine learning.,64,498
69,3,Project on AI for Healthcare,8,10/21/2020,10/21/2020,10,Developed a model for predicting health outcomes using machine learning.,43,367
70,515,Project on AI for Healthcare,15,5/20/2023,5/20/2023,7,Developed a model for predicting health outcomes using machine learning.,90,300
71,472,Content Marketing Campaign,3,2/20/2020,2/20/2020,9,"Created blog posts, videos, and infographics for a product launch.",76,430
72,362,Cloud Architecture Design,6,8/28/2021,8/28/2021,8,Designed a scalable cloud system using AWS services for high uptime.,8,328
73,558,Network Security Assessment,13,04-06-2024,04-06-2024,8,Conducted audits and applied firewall and encryption strategies.,76,441
74,175,Mobile App Prototype Design,17,08-06-2021,08-06-2021,10,Prototyped a mobile app with a strong focus on UX and accessibility.,63,365
75,610,Content Marketing Campaign,4,5/19/2021,5/19/2021,6,"Created blog posts, videos, and infographics for a product launch.",85,368
76,351,Project on AI for Healthcare,4,1/19/2021,1/19/2021,3,Developed a model for predicting health outcomes using machine learning.,49,465
77,168,Cloud Architecture Design,5,07-05-2021,07-05-2021,8,Designed a scalable cloud system using AWS services for high uptime.,74,337
78,466,E-commerce Website Development,6,04-11-2021,04-11-2021,2,Built a responsive web store with secure payments and user login.,28,20
79,460,Mobile App Prototype Design,18,12-01-2022,12-01-2022,3,Prototyped a mobile app with a strong focus on UX and accessibility.,14,144
80,587,Project on AI for Healthcare,8,10/16/2020,10/16/2020,9,Developed a model for predicting health outcomes using machine learning.,1,185
81,854,Project on AI for Healthcare,4,11-08-2023,11-08-2023,6,Developed a model for predicting health outcomes using machine learning.,62,30
82,920,Content Marketing Campaign,1,05-09-2020,05-09-2020,2,"Created blog posts, videos, and infographics for a product launch.",44,137
83,590,Mobile App Prototype Design,14,7/24/2021,7/24/2021,4,Prototyped a mobile app with a strong focus on UX and accessibility.,82,401
84,773,Cloud Architecture Design,11,10/28/2021,10/28/2021,3,Designed a scalable cloud system using AWS services for high uptime.,58,255
85,245,Cloud Architecture Design,5,10/29/2024,10/29/2024,9,Designed a scalable cloud system using AWS services for high uptime.,80,115
86,392,Content Marketing Campaign,15,03-11-2021,03-11-2021,8,"Created blog posts, videos, and infographics for a product launch.",6,345
87,21,Mobile App Prototype Design,17,8/16/2023,8/16/2023,4,Prototyped a mobile app with a strong focus on UX and accessibility.,17,5
88,377,Content Marketing Campaign,4,07-05-2023,07-05-2023,6,"Created blog posts, videos, and infographics for a product launch.",18,369
89,898,E-commerce Website Development,17,10/13/2022,10/13/2022,1,Built a responsive web store with secure payments and user login.,87,354
90,262,Mobile App Prototype Design,6,3/20/2020,3/20/2020,2,Prototyped a mobile app with a strong focus on UX and accessibility.,67,101
91,317,Network Security Assessment,18,1/26/2022,1/26/2022,6,Conducted audits and applied firewall and encryption strategies.,90,472
92,642,E-commerce Website Development,2,12-10-2024,12-10-2024,2,Built a responsive web store with secure payments and user login.,69,369
93,223,Network Security Assessment,15,2/16/2022,2/16/2022,9,Conducted audits and applied firewall and encryption strategies.,29,170
94,728,Mobile App Prototype Design,12,12/27/2020,12/27/2020,1,Prototyped a mobile app with a strong focus on UX and accessibility.,25,299
95,309,Cloud Architecture Design,17,1/13/2023,1/13/2023,2,Designed a scalable cloud system using AWS services for high uptime.,88,436
96,411,Content Marketing Campaign,4,1/20/2023,1/20/2023,4,"Created blog posts, videos, and infographics for a product launch.",32,232
97,751,Network Security Assessment,19,10-03-2024,10-03-2024,10,Conducted audits and applied firewall and encryption strategies.,16,50
98,76,Content Marketing Campaign,8,07-10-2023,07-10-2023,10,"Created blog posts, videos, and infographics for a product launch.",20,305
99,557,E-commerce Website Development,8,9/30/2021,9/30/2021,3,Built a responsive web store with secure payments and user login.,84,167
100,647,Content Marketing Campaign,13,02-04-2021,02-04-2021,10,"Created blog posts, videos, and infographics for a product launch.",94,147
101,91,Content Marketing Campaign,9,9/29/2021,9/29/2021,2,"Created blog posts, videos, and infographics for a product launch.",67,460
102,644,Mobile App Prototype Design,13,9/20/2024,9/20/2024,7,Prototyped a mobile app with a strong focus on UX and accessibility.,7,419
103,693,E-commerce Website Development,6,07-04-2020,07-04-2020,4,Built a responsive web store with secure payments and user login.,89,57
104,751,Project on AI for Healthcare,20,03-09-2021,03-09-2021,1,Developed a model for predicting health outcomes using machine learning.,46,463
105,752,Network Security Assessment,18,05-02-2024,05-02-2024,7,Conducted audits and applied firewall and encryption strategies.,76,469
106,483,E-commerce Website Development,10,1/30/2024,1/30/2024,2,Built a responsive web store with secure payments and user login.,13,427
107,838,E-commerce Website Development,13,2/25/2020,2/25/2020,1,Built a responsive web store with secure payments and user login.,77,261
108,753,Mobile App Prototype Design,2,10/20/2021,10/20/2021,8,Prototyped a mobile app with a strong focus on UX and accessibility.,73,281
109,764,Content Marketing Campaign,5,4/25/2024,4/25/2024,3,"Created blog posts, videos, and infographics for a product launch.",46,218
110,591,Cloud Architecture Design,17,08-02-2024,08-02-2024,9,Designed a scalable cloud system using AWS services for high uptime.,92,442
111,533,Network Security Assessment,5,06-11-2023,06-11-2023,2,Conducted audits and applied firewall and encryption strategies.,73,11
112,272,Network Security Assessment,17,3/26/2023,3/26/2023,1,Conducted audits and applied firewall and encryption strategies.,16,236
113,707,Mobile App Prototype Design,16,08-01-2021,08-01-2021,8,Prototyped a mobile app with a strong focus on UX and accessibility.,76,178
114,748,Cloud Architecture Design,11,12/16/2022,12/16/2022,5,Designed a scalable cloud system using AWS services for high uptime.,99,91
115,542,Project on AI for Healthcare,19,4/26/2020,4/26/2020,9,Developed a model for predicting health outcomes using machine learning.,97,396
116,780,Cloud Architecture Design,6,1/18/2023,1/18/2023,4,Designed a scalable cloud system using AWS services for high uptime.,98,216
117,445,E-commerce Website Development,17,8/29/2021,8/29/2021,9,Built a responsive web store with secure payments and user login.,92,371
118,639,Network Security Assessment,3,12/14/2023,12/14/2023,6,Conducted audits and applied firewall and encryption strategies.,73,465
119,51,Network Security Assessment,12,05-11-2023,05-11-2023,6,Conducted audits and applied firewall and encryption strategies.,82,390
120,838,Cloud Architecture Design,11,7/28/2020,7/28/2020,4,Designed a scalable cloud system using AWS services for high uptime.,89,310
121,283,Mobile App Prototype Design,5,10/16/2022,10/16/2022,2,Prototyped a mobile app with a strong focus on UX and accessibility.,36,22
122,437,Mobile App Prototype Design,4,6/16/2020,6/16/2020,4,Prototyped a mobile app with a strong focus on UX and accessibility.,63,47
123,271,Network Security Assessment,1,11/19/2023,11/19/2023,9,Conducted audits and applied firewall and encryption strategies.,3,109
124,759,Network Security Assessment,5,10/21/2022,10/21/2022,7,Conducted audits and applied firewall and encryption strategies.,75,452
125,831,Mobile App Prototype Design,16,10-01-2020,10-01-2020,4,Prototyped a mobile app with a strong focus on UX and accessibility.,94,203
126,141,Cloud Architecture Design,16,5/17/2021,5/17/2021,4,Designed a scalable cloud system using AWS services for high uptime.,29,464
127,876,Network Security Assessment,6,5/20/2020,5/20/2020,8,Conducted audits and applied firewall and encryption strategies.,12,301
128,520,Cloud Architecture Design,18,09-05-2020,09-05-2020,8,Designed a scalable cloud system using AWS services for high uptime.,53,253
129,628,Project on AI for Healthcare,6,05-02-2021,05-02-2021,8,Developed a model for predicting health outcomes using machine learning.,29,371
130,734,E-commerce Website Development,11,2/26/2021,2/26/2021,3,Built a responsive web store with secure payments and user login.,7,479
131,629,Project on AI for Healthcare,9,10/17/2020,10/17/2020,5,Developed a model for predicting health outcomes using machine learning.,69,55
132,517,Network Security Assessment,11,10/20/2023,10/20/2023,5,Conducted audits and applied firewall and encryption strategies.,8,49
133,797,E-commerce Website Development,8,06-05-2023,06-05-2023,9,Built a responsive web store with secure payments and user login.,97,452
134,105,Project on AI for Healthcare,20,7/14/2020,7/14/2020,2,Developed a model for predicting health outcomes using machine learning.,58,266
135,40,E-commerce Website Development,3,09-12-2021,09-12-2021,2,Built a responsive web store with secure payments and user login.,67,274
136,337,Cloud Architecture Design,4,11-01-2020,11-01-2020,10,Designed a scalable cloud system using AWS services for high uptime.,22,394
137,986,Network Security Assessment,9,12-06-2022,12-06-2022,8,Conducted audits and applied firewall and encryption strategies.,66,14
138,481,Cloud Architecture Design,19,09-03-2021,09-03-2021,7,Designed a scalable cloud system using AWS services for high uptime.,43,222
139,594,Mobile App Prototype Design,1,4/26/2024,4/26/2024,5,Prototyped a mobile app with a strong focus on UX and accessibility.,14,323
140,136,E-commerce Website Development,15,11-11-2022,11-11-2022,1,Built a responsive web store with secure payments and user login.,14,418
141,871,E-commerce Website Development,20,03-05-2023,03-05-2023,9,Built a responsive web store with secure payments and user login.,92,263
142,695,Project on AI for Healthcare,3,4/25/2024,4/25/2024,4,Developed a model for predicting health outcomes using machine learning.,74,377
143,975,Content Marketing Campaign,13,10/17/2020,10/17/2020,2,"Created blog posts, videos, and infographics for a product launch.",2,335
144,87,Content Marketing Campaign,18,08-08-2023,08-08-2023,9,"Created blog posts, videos, and infographics for a product launch.",10,469
145,102,Cloud Architecture Design,10,05-02-2024,05-02-2024,7,Designed a scalable cloud system using AWS services for high uptime.,54,290
146,289,Cloud Architecture Design,19,5/29/2023,5/29/2023,4,Designed a scalable cloud system using AWS services for high uptime.,9,9
147,338,Cloud Architecture Design,17,08-10-2020,08-10-2020,8,Designed a scalable cloud system using AWS services for high uptime.,61,387
148,119,Content Marketing Campaign,9,10/23/2020,10/23/2020,9,"Created blog posts, videos, and infographics for a product launch.",29,102
149,728,Mobile App Prototype Design,15,2/18/2022,2/18/2022,2,Prototyped a mobile app with a strong focus on UX and accessibility.,56,368
150,174,Network Security Assessment,20,06-12-2024,06-12-2024,4,Conducted audits and applied firewall and encryption strategies.,64,309
151,851,Project on AI for Healthcare,14,9/18/2024,9/18/2024,6,Developed a model for predicting health outcomes using machine learning.,19,22
152,517,Content Marketing Campaign,8,12/22/2024,12/22/2024,10,"Created blog posts, videos, and infographics for a product launch.",60,8
153,418,Content Marketing Campaign,14,02-02-2023,02-02-2023,10,"Created blog posts, videos, and infographics for a product launch.",95,439
154,911,Content Marketing Campaign,7,04-03-2021,04-03-2021,10,"Created blog posts, videos, and infographics for a product launch.",65,330
155,97,Network Security Assessment,3,05-03-2021,05-03-2021,9,Conducted audits and applied firewall and encryption strategies.,61,343
156,530,Project on AI for Healthcare,7,06-10-2022,06-10-2022,10,Developed a model for predicting health outcomes using machine learning.,4,360
157,490,Cloud Architecture Design,17,12/27/2021,12/27/2021,8,Designed a scalable cloud system using AWS services for high uptime.,67,90
158,90,Content Marketing Campaign,5,12-10-2023,12-10-2023,8,"Created blog posts, videos, and infographics for a product launch.",66,88
159,525,Network Security Assessment,15,05-10-2023,05-10-2023,2,Conducted audits and applied firewall and encryption strategies.,10,303
160,650,Network Security Assessment,1,4/20/2024,4/20/2024,8,Conducted audits and applied firewall and encryption strategies.,44,122
161,880,Mobile App Prototype Design,7,4/26/2022,4/26/2022,6,Prototyped a mobile app with a strong focus on UX and accessibility.,96,395
162,959,E-commerce Website Development,11,8/30/2024,8/30/2024,3,Built a responsive web store with secure payments and user login.,48,367
163,422,Project on AI for Healthcare,1,01-08-2023,01-08-2023,3,Developed a model for predicting health outcomes using machine learning.,91,165
164,897,Cloud Architecture Design,18,9/30/2021,9/30/2021,4,Designed a scalable cloud system using AWS services for high uptime.,69,31
165,953,Mobile App Prototype Design,12,3/20/2024,3/20/2024,4,Prototyped a mobile app with a strong focus on UX and accessibility.,82,251
166,888,Content Marketing Campaign,7,09-06-2023,09-06-2023,7,"Created blog posts, videos, and infographics for a product launch.",51,437
167,989,Project on AI for Healthcare,14,3/22/2021,3/22/2021,1,Developed a model for predicting health outcomes using machine learning.,15,364
168,844,Content Marketing Campaign,7,4/30/2022,4/30/2022,6,"Created blog posts, videos, and infographics for a product launch.",78,153
169,502,E-commerce Website Development,11,7/13/2024,7/13/2024,2,Built a responsive web store with secure payments and user login.,50,480
170,24,Content Marketing Campaign,13,07-05-2024,07-05-2024,7,"Created blog posts, videos, and infographics for a product launch.",95,196
171,593,Project on AI for Healthcare,18,2/21/2020,2/21/2020,5,Developed a model for predicting health outcomes using machine learning.,96,78
172,260,Mobile App Prototype Design,1,7/13/2022,7/13/2022,1,Prototyped a mobile app with a strong focus on UX and accessibility.,61,127
173,628,Project on AI for Healthcare,12,11-12-2020,11-12-2020,7,Developed a model for predicting health outcomes using machine learning.,32,377
174,582,Network Security Assessment,18,10/31/2020,10/31/2020,2,Conducted audits and applied firewall and encryption strategies.,61,269
175,172,Mobile App Prototype Design,14,2/27/2022,2/27/2022,9,Prototyped a mobile app with a strong focus on UX and accessibility.,99,144
176,64,E-commerce Website Development,2,02-04-2023,02-04-2023,2,Built a responsive web store with secure payments and user login.,28,275
177,601,Mobile App Prototype Design,4,06-03-2023,06-03-2023,10,Prototyped a mobile app with a strong focus on UX and accessibility.,33,111
178,547,Content Marketing Campaign,8,5/20/2022,5/20/2022,10,"Created blog posts, videos, and infographics for a product launch.",89,187
179,357,E-commerce Website Development,16,7/25/2024,7/25/2024,1,Built a responsive web store with secure payments and user login.,99,488
180,189,Content Marketing Campaign,15,7/13/2024,7/13/2024,9,"Created blog posts, videos, and infographics for a product launch.",16,174
181,923,E-commerce Website Development,18,10-01-2022,10-01-2022,5,Built a responsive web store with secure payments and user login.,7,469
182,758,Project on AI for Healthcare,13,09-11-2023,09-11-2023,1,Developed a model for predicting health outcomes using machine learning.,22,480
183,718,Network Security Assessment,3,8/24/2022,8/24/2022,10,Conducted audits and applied firewall and encryption strategies.,76,33
184,36,Content Marketing Campaign,7,8/24/2020,8/24/2020,7,"Created blog posts, videos, and infographics for a product launch.",9,353
185,913,Project on AI for Healthcare,5,5/25/2021,5/25/2021,10,Developed a model for predicting health outcomes using machine learning.,4,436
186,792,Content Marketing Campaign,14,11-03-2022,11-03-2022,9,"Created blog posts, videos, and infographics for a product launch.",14,19
187,695,E-commerce Website Development,7,08-06-2023,08-06-2023,4,Built a responsive web store with secure payments and user login.,86,240
188,162,Network Security Assessment,19,11/29/2020,11/29/2020,9,Conducted audits and applied firewall and encryption strategies.,47,91
189,860,Project on AI for Healthcare,1,10/25/2021,10/25/2021,2,Developed a model for predicting health outcomes using machine learning.,50,436
190,638,Project on AI for Healthcare,16,05-06-2020,05-06-2020,5,Developed a model for predicting health outcomes using machine learning.,12,221
191,506,E-commerce Website Development,5,07-08-2024,07-08-2024,10,Built a responsive web store with secure payments and user login.,26,396
192,627,Network Security Assessment,17,04-04-2023,04-04-2023,10,Conducted audits and applied firewall and encryption strategies.,72,453
193,474,Cloud Architecture Design,9,10/31/2023,10/31/2023,7,Designed a scalable cloud system using AWS services for high uptime.,30,52
194,134,Content Marketing Campaign,14,8/23/2022,8/23/2022,8,"Created blog posts, videos, and infographics for a product launch.",41,188
195,174,Mobile App Prototype Design,15,10-05-2023,10-05-2023,2,Prototyped a mobile app with a strong focus on UX and accessibility.,60,225
196,117,Network Security Assessment,16,2/22/2022,2/22/2022,10,Conducted audits and applied firewall and encryption strategies.,53,282
197,846,Network Security Assessment,15,2/18/2024,2/18/2024,2,Conducted audits and applied firewall and encryption strategies.,96,313
198,169,E-commerce Website Development,12,9/15/2022,9/15/2022,5,Built a responsive web store with secure payments and user login.,42,320
199,715,Mobile App Prototype Design,1,1/24/2021,1/24/2021,3,Prototyped a mobile app with a strong focus on UX and accessibility.,1,169
200,639,E-commerce Website Development,7,01-06-2024,01-06-2024,7,Built a responsive web store with secure payments and user login.,97,240
201,246,Network Security Assessment,13,04-05-2024,04-05-2024,5,Conducted audits and applied firewall and encryption strategies.,18,296
202,666,Network Security Assessment,1,06-07-2024,06-07-2024,6,Conducted audits and applied firewall and encryption strategies.,2,355
203,750,Cloud Architecture Design,8,11-04-2020,11-04-2020,9,Designed a scalable cloud system using AWS services for high uptime.,78,75
204,197,Cloud Architecture Design,14,09-02-2024,09-02-2024,6,Designed a scalable cloud system using AWS services for high uptime.,41,16
205,215,Cloud Architecture Design,14,11/29/2021,11/29/2021,9,Designed a scalable cloud system using AWS services for high uptime.,42,477
206,650,Cloud Architecture Design,5,12/16/2022,12/16/2022,1,Designed a scalable cloud system using AWS services for high uptime.,95,454
207,614,Cloud Architecture Design,15,10-02-2023,10-02-2023,2,Designed a scalable cloud system using AWS services for high uptime.,14,267
208,160,Network Security Assessment,4,03-12-2023,03-12-2023,7,Conducted audits and applied firewall and encryption strategies.,13,6
209,748,Mobile App Prototype Design,8,08-06-2022,08-06-2022,3,Prototyped a mobile app with a strong focus on UX and accessibility.,62,374
210,612,E-commerce Website Development,11,06-11-2022,06-11-2022,10,Built a responsive web store with secure payments and user login.,93,130
211,314,Mobile App Prototype Design,11,8/20/2022,8/20/2022,9,Prototyped a mobile app with a strong focus on UX and accessibility.,35,297
212,599,Mobile App Prototype Design,19,01-11-2024,01-11-2024,4,Prototyped a mobile app with a strong focus on UX and accessibility.,26,235
213,751,Cloud Architecture Design,12,05-10-2020,05-10-2020,6,Designed a scalable cloud system using AWS services for high uptime.,8,246
214,155,Mobile App Prototype Design,6,6/14/2024,6/14/2024,9,Prototyped a mobile app with a strong focus on UX and accessibility.,47,461
215,72,Content Marketing Campaign,17,12/26/2024,12/26/2024,2,"Created blog posts, videos, and infographics for a product launch.",61,22
216,676,Cloud Architecture Design,1,02-09-2022,02-09-2022,1,Designed a scalable cloud system using AWS services for high uptime.,96,121
217,424,Network Security Assessment,7,6/29/2020,6/29/2020,1,Conducted audits and applied firewall and encryption strategies.,8,205
218,882,Mobile App Prototype Design,11,10/26/2023,10/26/2023,1,Prototyped a mobile app with a strong focus on UX and accessibility.,97,186
219,319,Project on AI for Healthcare,20,10/29/2020,10/29/2020,1,Developed a model for predicting health outcomes using machine learning.,84,79
220,604,Project on AI for Healthcare,1,09-02-2024,09-02-2024,9,Developed a model for predicting health outcomes using machine learning.,60,20
221,60,Network Security Assessment,4,9/29/2020,9/29/2020,10,Conducted audits and applied firewall and encryption strategies.,64,224
222,589,Project on AI for Healthcare,2,02-10-2022,02-10-2022,3,Developed a model for predicting health outcomes using machine learning.,32,101
223,974,Mobile App Prototype Design,2,09-10-2020,09-10-2020,6,Prototyped a mobile app with a strong focus on UX and accessibility.,35,46
224,693,Network Security Assessment,15,08-05-2023,08-05-2023,8,Conducted audits and applied firewall and encryption strategies.,82,288
225,240,Mobile App Prototype Design,11,4/21/2022,4/21/2022,2,Prototyped a mobile app with a strong focus on UX and accessibility.,31,47
226,141,E-commerce Website Development,2,08-04-2021,08-04-2021,7,Built a responsive web store with secure payments and user login.,62,379
227,545,Project on AI for Healthcare,15,02-05-2020,02-05-2020,1,Developed a model for predicting health outcomes using machine learning.,94,257
228,837,Project on AI for Healthcare,11,02-12-2021,02-12-2021,8,Developed a model for predicting health outcomes using machine learning.,100,292
229,354,Project on AI for Healthcare,20,01-02-2023,01-02-2023,7,Developed a model for predicting health outcomes using machine learning.,64,147
230,542,Mobile App Prototype Design,8,09-10-2024,09-10-2024,2,Prototyped a mobile app with a strong focus on UX and accessibility.,55,75
231,456,Content Marketing Campaign,18,12-03-2022,12-03-2022,3,"Created blog posts, videos, and infographics for a product launch.",2,483
232,258,Network Security Assessment,7,07-06-2023,07-06-2023,3,Conducted audits and applied firewall and encryption strategies.,46,345
