GTS_TRAINING_OFFER_ID,GTS_TRAINING_OFFER_POSTED_BY_ID,GTS_TRAINING_ID,GTS_TRAINER_ID,GTS_TRAINING_OFFER_STATUS,GTS_TRAINING_OFFER_START_DATE,GTS_TRAINING_OFFER_END_DATE,GTS_TRAINING_OFFER_TYPE,GTS_TRAINING_OFFER_MEDIUM,GTS_TRAINING_CENTER_ID,GTS_TRAINER_COUNTRY_CODE,GTS_TRAINER_CONTACT_NUMBER,GTS_TRAINING_OFFER_PREREQUISITE,GTS_TRAINING_VIDEO_ID
109,623,56,520,FALSE,3/19/2020,5/18/2020,Full-time,Hybrid,73,212,7804894005,Understanding of data structures and algorithms,83
110,635,196,900,TRUE,03-09-2020,05-08-2020,Full-time,Online,46,250,9518553465,Willingness to learn new technologies,561
111,335,744,702,TRUE,2/19/2020,4/19/2020,Part-time,Online,89,66,8119589549,and JavaScript,570
112,44,511,710,FALSE,3/20/2020,5/19/2020,Self-paced,Hybrid,13,161,7253160024,Bachelor's degree in a relevant field,559
113,702,435,478,TRUE,3/27/2020,5/26/2020,Part-time,Hybrid,30,132,6486389249,Bachelor's degree in a relevant field,911
114,46,948,592,TRUE,01-09-2020,03-09-2020,Part-time,Hybrid,34,217,9007381913,Bachelor's degree in a relevant field,420
115,29,355,45,TRUE,6/28/2020,8/27/2020,Self-paced,Online,49,182,6998579102,Familiarity with Agile or Scrum methodologies,983
116,559,396,863,TRUE,2/23/2020,4/23/2020,Full-time,Offline,77,94,6738215657,and JavaScript,108
117,278,953,345,FALSE,03-02-2020,05-01-2020,Part-time,Online,6,73,9757209631,No prerequisites required,629
118,340,364,519,TRUE,1/22/2020,3/22/2020,Full-time,Online,35,236,8997622472,Comfortable with remote collaboration tools,350
119,633,82,671,TRUE,04-05-2020,06-04-2020,Full-time,Online,51,190,6954599677,Passion for tech and innovation,393
120,116,465,185,TRUE,03-04-2020,05-03-2020,Full-time,Hybrid,93,174,6681862514,Portfolio of design projects (for UI/UX),571
121,329,912,668,FALSE,05-11-2020,07-10-2020,Self-paced,Offline,90,25,9730762286,Strong communication skills,806
122,489,706,574,TRUE,1/27/2020,3/27/2020,Self-paced,Offline,27,235,6330865284,Understanding of data structures and algorithms,326
123,41,603,596,FALSE,04-10-2020,06-09-2020,Part-time,Hybrid,75,210,9496191417,and JavaScript,98
124,903,581,33,TRUE,4/14/2020,6/13/2020,Self-paced,Hybrid,96,114,7050328210,Passion for tech and innovation,547
125,450,627,928,TRUE,6/25/2020,8/24/2020,Full-time,Online,48,119,6920553080,Bachelor's degree in a relevant field,762
126,399,454,228,FALSE,2/26/2020,4/26/2020,Full-time,Offline,12,78,6877725459,Strong communication skills,437
127,74,286,951,FALSE,04-01-2020,5/31/2020,Self-paced,Hybrid,11,171,7411767350,Interest in cybersecurity,656
128,413,427,415,FALSE,1/25/2020,3/25/2020,Full-time,Hybrid,51,79,8214745607,Exposure to databases and SQL,629
129,576,404,163,TRUE,4/14/2020,6/13/2020,Part-time,Online,25,65,6182163048,Understanding of data structures and algorithms,139
130,614,722,28,TRUE,3/30/2020,5/29/2020,Part-time,Online,44,246,8106818306,Prior experience with Excel or spreadsheets,609
131,125,815,547,TRUE,2/22/2020,4/22/2020,Self-paced,Hybrid,82,12,6277743888,Exposure to databases and SQL,876
132,420,459,829,FALSE,2/29/2020,4/29/2020,Part-time,Online,55,20,8558440063,Prior experience with Excel or spreadsheets,855
133,741,763,103,TRUE,3/14/2020,5/13/2020,Part-time,Offline,98,59,8231105346,CSS,991
134,990,197,858,TRUE,04-12-2020,06-11-2020,Full-time,Offline,1,179,9612649084,Experience in project coordination,452
135,217,874,831,TRUE,2/25/2020,4/25/2020,Full-time,Offline,96,162,6617619699,Completion of Intro to Python course,67
136,43,44,128,TRUE,02-08-2020,04-08-2020,Part-time,Online,46,185,7678618648,Strong communication skills,758
137,388,726,869,TRUE,2/18/2020,4/18/2020,Full-time,Offline,96,121,6511143939,Completion of Intro to Python course,811
138,159,745,741,FALSE,06-03-2020,08-02-2020,Self-paced,Hybrid,88,48,6911742547,Strong communication skills,511
139,107,852,784,FALSE,03-10-2020,05-09-2020,Self-paced,Offline,49,204,9667601679,Portfolio of design projects (for UI/UX),693
140,786,874,98,FALSE,2/20/2020,4/20/2020,Full-time,Hybrid,89,214,7560323492,Previous coursework in networking fundamentals,436
141,966,557,161,FALSE,2/27/2020,4/27/2020,Full-time,Online,64,248,7319795656,Experience in project coordination,39
142,81,150,330,TRUE,5/18/2020,7/17/2020,Full-time,Hybrid,69,194,7584054040,Willingness to learn new technologies,951
143,135,434,156,FALSE,02-02-2020,04-02-2020,Part-time,Offline,59,18,6898321733,Strong communication skills,427
144,7,932,11,FALSE,5/18/2020,7/17/2020,Self-paced,Hybrid,39,50,7435640753,Portfolio of design projects (for UI/UX),755
145,78,699,131,TRUE,02-05-2020,04-05-2020,Self-paced,Hybrid,95,194,8420567581,Awareness of marketing strategies,198
146,933,60,516,FALSE,6/18/2020,8/17/2020,Self-paced,Hybrid,36,128,9199135573,Prior experience with Excel or spreadsheets,835
147,537,654,75,TRUE,2/25/2020,4/25/2020,Part-time,Online,4,166,8933697590,Familiarity with Agile or Scrum methodologies,377
148,990,438,703,FALSE,1/13/2020,3/13/2020,Self-paced,Offline,37,86,7007016083,Familiarity with cloud tools,503
149,447,991,672,TRUE,2/13/2020,4/13/2020,Part-time,Hybrid,97,87,9920018114,Passion for tech and innovation,816
150,523,952,475,FALSE,3/23/2020,5/22/2020,Part-time,Online,77,12,9298315559,and JavaScript,602
151,992,774,929,TRUE,4/15/2020,6/14/2020,Full-time,Hybrid,79,67,6919497565,Previous coursework in networking fundamentals,226
152,873,995,292,TRUE,05-11-2020,07-10-2020,Part-time,Hybrid,84,175,6157236384,CSS,662
153,690,386,260,TRUE,01-09-2020,03-09-2020,Self-paced,Hybrid,28,114,6071712753,Portfolio of design projects (for UI/UX),504
154,979,564,566,TRUE,04-11-2020,06-10-2020,Self-paced,Hybrid,41,173,6989378461,Completion of Intro to Python course,74
155,92,809,264,FALSE,04-09-2020,06-08-2020,Part-time,Online,5,186,8834645084,Strong communication skills,557
156,506,255,285,FALSE,3/20/2020,5/19/2020,Full-time,Offline,42,71,7779219094,Awareness of marketing strategies,265
157,887,759,901,FALSE,2/23/2020,4/23/2020,Self-paced,Online,6,20,7812835563,Comfortable with remote collaboration tools,448
158,494,444,644,FALSE,01-02-2020,03-02-2020,Part-time,Hybrid,93,216,6394304200,Prior experience with Excel or spreadsheets,152
159,867,641,167,TRUE,3/15/2020,5/14/2020,Self-paced,Offline,28,182,9195685870,Understanding of data structures and algorithms,912
160,487,540,181,TRUE,3/18/2020,5/17/2020,Part-time,Online,92,207,9777741485,Knowledge of HTML,650
161,238,368,795,TRUE,4/14/2020,6/13/2020,Full-time,Online,9,179,7634021736,No prerequisites required,301
162,329,569,783,FALSE,6/28/2020,8/27/2020,Self-paced,Online,42,212,8451418745,Familiarity with Agile or Scrum methodologies,302
163,741,130,472,FALSE,4/20/2020,6/19/2020,Part-time,Online,58,88,7623286867,Experience in project coordination,554
164,848,244,946,FALSE,03-11-2020,05-10-2020,Self-paced,Hybrid,13,15,9959758020,Awareness of marketing strategies,117
165,79,581,894,FALSE,01-09-2020,03-09-2020,Full-time,Hybrid,78,92,6569257792,Knowledge of HTML,215
166,870,185,419,TRUE,6/29/2020,8/28/2020,Full-time,Hybrid,43,128,6754245784,Previous coursework in networking fundamentals,155
167,781,634,557,FALSE,6/18/2020,8/17/2020,Part-time,Offline,68,237,8577061385,Previous coursework in networking fundamentals,809
168,426,732,406,FALSE,3/31/2020,5/30/2020,Part-time,Online,22,204,7112763120,Familiarity with Agile or Scrum methodologies,729
169,613,210,803,TRUE,4/24/2020,6/23/2020,Full-time,Online,75,210,9644403858,Awareness of marketing strategies,82
170,419,8,445,FALSE,3/28/2020,5/27/2020,Full-time,Offline,2,241,7735806438,Familiarity with cloud tools,708
171,862,435,543,TRUE,3/16/2020,5/15/2020,Self-paced,Offline,34,76,6136115351,CSS,90
172,755,832,637,FALSE,02-01-2020,04-01-2020,Self-paced,Offline,20,201,8652407256,Portfolio of design projects (for UI/UX),666
173,90,785,534,TRUE,6/23/2020,8/22/2020,Self-paced,Online,86,113,7234761548,Portfolio of design projects (for UI/UX),916
174,392,845,247,TRUE,04-08-2020,06-07-2020,Part-time,Hybrid,33,213,9430850571,CSS,565
175,270,507,715,FALSE,01-10-2020,03-10-2020,Part-time,Online,77,242,7274799700,Exposure to databases and SQL,519
176,308,6,497,TRUE,4/24/2020,6/23/2020,Part-time,Online,55,214,9503826501,Knowledge of HTML,95
177,780,733,254,FALSE,05-01-2020,6/30/2020,Part-time,Offline,83,3,8893564014,Basic understanding of machine learning concepts,824
178,925,897,968,TRUE,6/19/2020,8/18/2020,Full-time,Online,57,204,6633957175,Completion of Intro to Python course,989
179,305,923,325,TRUE,2/17/2020,4/17/2020,Full-time,Online,30,82,9461779465,Awareness of marketing strategies,673
180,756,415,437,FALSE,6/21/2020,8/20/2020,Part-time,Offline,87,9,8155366979,Prior experience with Excel or spreadsheets,645
181,15,899,573,FALSE,03-10-2020,05-09-2020,Self-paced,Offline,5,57,6080898517,Completion of Intro to Python course,835
182,198,734,526,TRUE,04-07-2020,06-06-2020,Full-time,Online,11,224,8410259165,Understanding of data structures and algorithms,336
183,745,781,292,FALSE,05-01-2020,6/30/2020,Self-paced,Offline,30,125,8548392675,Prior experience with Excel or spreadsheets,144
184,396,201,248,FALSE,4/28/2020,6/27/2020,Full-time,Offline,45,224,9183235235,Prior experience with Excel or spreadsheets,596
185,231,718,755,FALSE,01-08-2020,03-08-2020,Self-paced,Hybrid,72,187,6415161841,Bachelor's degree in a relevant field,17
186,832,562,550,TRUE,01-05-2020,03-05-2020,Self-paced,Hybrid,1,170,7869492150,Prior experience with Excel or spreadsheets,958
187,139,857,314,FALSE,3/26/2020,5/25/2020,Part-time,Hybrid,85,236,7118683037,Exposure to databases and SQL,740
188,641,96,954,FALSE,06-05-2020,08-04-2020,Part-time,Hybrid,29,205,9987617431,Comfortable with remote collaboration tools,45
189,303,335,657,TRUE,4/17/2020,6/16/2020,Self-paced,Online,56,17,8340284329,No prerequisites required,830
190,999,352,975,FALSE,4/25/2020,6/24/2020,Self-paced,Hybrid,23,187,9633606431,Willingness to learn new technologies,613
191,36,8,863,TRUE,04-02-2020,06-01-2020,Part-time,Hybrid,32,233,8802069396,Completion of Intro to Python course,775
192,54,64,848,TRUE,3/19/2020,5/18/2020,Full-time,Online,46,5,7896713298,Familiarity with cloud tools,449
193,101,597,513,FALSE,06-05-2020,08-04-2020,Full-time,Offline,13,224,6653129810,Awareness of marketing strategies,748
194,253,488,937,TRUE,3/15/2020,5/14/2020,Self-paced,Hybrid,59,172,7645411674,Passion for tech and innovation,83
195,664,541,738,FALSE,2/14/2020,4/14/2020,Full-time,Offline,33,99,7634414528,Prior experience with Excel or spreadsheets,172
196,794,277,906,FALSE,01-04-2020,03-04-2020,Full-time,Offline,60,122,9457363187,Familiarity with Agile or Scrum methodologies,916
197,41,466,908,TRUE,5/17/2020,7/16/2020,Self-paced,Hybrid,23,214,9578682391,Awareness of marketing strategies,743
198,996,336,318,TRUE,3/27/2020,5/26/2020,Self-paced,Hybrid,21,83,8929722029,Passion for tech and innovation,880
199,877,248,983,FALSE,5/16/2020,7/15/2020,Full-time,Hybrid,35,216,9292250548,Bachelor's degree in a relevant field,359
200,981,77,807,FALSE,3/20/2020,5/19/2020,Full-time,Hybrid,57,140,8706205808,Prior experience with Excel or spreadsheets,131
201,86,501,263,FALSE,03-02-2020,05-01-2020,Full-time,Hybrid,41,3,6327696745,Awareness of marketing strategies,607
202,925,184,350,FALSE,5/14/2020,7/13/2020,Full-time,Online,6,137,9630593761,Comfortable with remote collaboration tools,819
203,274,196,922,FALSE,2/29/2020,4/29/2020,Self-paced,Online,11,91,7599924315,Knowledge of HTML,666
204,239,762,300,FALSE,3/13/2020,05-12-2020,Full-time,Offline,41,63,9991543396,Awareness of marketing strategies,29
205,536,351,639,TRUE,01-06-2020,03-06-2020,Full-time,Online,94,235,7890978024,CSS,231
206,771,118,117,FALSE,1/16/2020,3/16/2020,Self-paced,Offline,19,200,7615194536,Strong communication skills,600
207,761,665,612,FALSE,5/17/2020,7/16/2020,Self-paced,Online,6,48,8948050006,Strong communication skills,737
208,878,450,347,TRUE,4/27/2020,6/26/2020,Full-time,Hybrid,38,209,8318058710,Strong communication skills,794
209,357,896,776,FALSE,06-10-2020,08-09-2020,Part-time,Online,33,49,6253473527,Willingness to learn new technologies,63
210,876,385,577,TRUE,06-10-2020,08-09-2020,Self-paced,Hybrid,93,194,7827340570,Familiarity with cloud tools,18
211,638,445,801,TRUE,04-09-2020,06-08-2020,Full-time,Offline,22,217,8025225723,Portfolio of design projects (for UI/UX),859
212,405,527,889,FALSE,6/21/2020,8/20/2020,Part-time,Hybrid,71,155,9353502752,Experience in project coordination,911
213,979,292,206,TRUE,1/13/2020,3/13/2020,Self-paced,Online,45,101,6521164188,Comfortable with remote collaboration tools,920
214,553,307,462,FALSE,02-01-2020,04-01-2020,Self-paced,Online,100,248,6910666102,Awareness of marketing strategies,855
215,472,283,906,FALSE,5/27/2020,7/26/2020,Full-time,Online,47,45,7897348193,Familiarity with Agile or Scrum methodologies,981
216,2,344,789,TRUE,06-08-2020,08-07-2020,Full-time,Offline,49,58,7565758483,and JavaScript,418
217,297,858,611,FALSE,02-12-2020,04-12-2020,Self-paced,Offline,61,131,7047491891,Strong communication skills,60
218,731,379,276,FALSE,06-09-2020,08-08-2020,Full-time,Offline,78,22,6403512538,Understanding of data structures and algorithms,211
219,155,446,471,TRUE,5/24/2020,7/23/2020,Full-time,Offline,21,62,8725166108,Familiarity with cloud tools,170
220,826,434,700,TRUE,03-07-2020,05-06-2020,Self-paced,Offline,33,159,9393532802,Interest in cybersecurity,25
221,946,678,521,TRUE,6/22/2020,8/21/2020,Self-paced,Online,71,148,7669206623,Bachelor's degree in a relevant field,64
222,716,864,103,FALSE,3/21/2020,5/20/2020,Self-paced,Hybrid,19,18,7150169119,Portfolio of design projects (for UI/UX),535
223,405,922,123,FALSE,1/15/2020,3/15/2020,Self-paced,Hybrid,3,247,8550036586,Passion for tech and innovation,303
224,791,491,372,TRUE,6/24/2020,8/23/2020,Full-time,Hybrid,57,152,7428408923,Completion of Intro to Python course,38
