GTS_JOB_APPLICATION_ID,GTS_APPLIED_JOB_ID,GTS_JOB_APPLICATION_DATE,GTS_APPLICANT_ID,GTS_APPLICANT_PROPOSAL,GTS_JOB_APPLICATION_STATUS,GTS_JOB_APPLICATION_UPDATED_DATE,GTS_JOB_APPLICATION_IS_ACTIVE,GTS_JOB_REVIEWED_DATE,GTS_JOB_SHORTLISTED_DATE,GTS_JOB_PROPOSED_FOR_INTERVIEW_DATE,GTS_JOB_REJECTED_DATE,GTS_JOB_SELECTED_DATE,GTS_JOB_OFFERED_DATE,IS_FRAUD_JOB
74,789,6/19/2023,87,"With my background, I believe I am a strong fit for this position.",Interview Proposed,6/19/2023,TRUE,6/19/2023,6/19/2023,6/19/2023,,,,FALSE
75,982,06-06-2023,850,Looking forward to bringing my expertise to your organization.,Selected,06-06-2023,TRUE,06-06-2023,06-06-2023,06-06-2023,,06-06-2023,,FALSE
76,804,04-06-2025,937,Looking forward to bringing my expertise to your organization.,Reviewed,04-06-2025,TRUE,04-06-2025,,,,,,FALSE
77,881,06-09-2024,950,I am passionate about this role and ready to make an impact.,Offered,06-09-2024,TRUE,06-09-2024,06-09-2024,06-09-2024,,06-09-2024,06-09-2024,FALSE
78,571,10-04-2023,433,I am passionate about this role and ready to make an impact.,Reviewed,10-04-2023,TRUE,10-04-2023,,,,,,FALSE
79,581,3/25/2024,459,"With my background, I believe I am a strong fit for this position.",Shortlisted,3/25/2024,TRUE,3/25/2024,3/25/2024,,,,,FALSE
80,844,9/25/2024,343,I am eager to contribute my skills to this role.,Rejected,9/25/2024,FALSE,9/25/2024,9/25/2024,9/25/2024,9/25/2024,,,FALSE
81,708,07-07-2024,852,"With my background, I believe I am a strong fit for this position.",Rejected,07-07-2024,TRUE,07-07-2024,07-07-2024,07-07-2024,07-07-2024,,,FALSE
82,461,3/30/2023,234,I am eager to contribute my skills to this role.,Selected,3/30/2023,TRUE,3/30/2023,3/30/2023,3/30/2023,,3/30/2023,,FALSE
83,804,9/23/2023,388,"With my background, I believe I am a strong fit for this position.",Pending,9/23/2023,TRUE,,,,,,,FALSE
84,478,11/14/2024,187,Looking forward to bringing my expertise to your organization.,Reviewed,11/14/2024,FALSE,11/14/2024,,,,,,FALSE
85,446,1/23/2024,969,I am passionate about this role and ready to make an impact.,Rejected,1/23/2024,TRUE,1/23/2024,1/23/2024,1/23/2024,1/23/2024,,,FALSE
86,427,12-12-2024,544,"With my background, I believe I am a strong fit for this position.",Rejected,12-12-2024,TRUE,12-12-2024,12-12-2024,12-12-2024,12-12-2024,,,FALSE
87,545,04-09-2025,502,Looking forward to bringing my expertise to your organization.,Interview Proposed,04-09-2025,TRUE,04-09-2025,04-09-2025,04-09-2025,,,,FALSE
88,884,12/28/2023,92,Looking forward to bringing my expertise to your organization.,Rejected,12/28/2023,TRUE,12/28/2023,12/28/2023,12/28/2023,12/28/2023,,,TRUE
89,214,12-07-2023,131,I am eager to contribute my skills to this role.,Selected,12-07-2023,TRUE,12-07-2023,12-07-2023,12-07-2023,,12-07-2023,,FALSE
90,943,01-02-2023,152,I am passionate about this role and ready to make an impact.,Reviewed,01-02-2023,FALSE,01-02-2023,,,,,,FALSE
91,264,07-01-2024,673,I am passionate about this role and ready to make an impact.,Shortlisted,07-01-2024,TRUE,07-01-2024,07-01-2024,,,,,FALSE
92,990,3/19/2024,769,Looking forward to bringing my expertise to your organization.,Offered,3/19/2024,FALSE,3/19/2024,3/19/2024,3/19/2024,,3/19/2024,3/19/2024,FALSE
93,34,8/22/2024,869,"With my background, I believe I am a strong fit for this position.",Pending,8/22/2024,FALSE,,,,,,,FALSE
94,594,9/15/2023,116,I am eager to contribute my skills to this role.,Rejected,9/15/2023,TRUE,9/15/2023,9/15/2023,9/15/2023,9/15/2023,,,FALSE
95,535,12-02-2023,200,I am eager to contribute my skills to this role.,Pending,12-02-2023,FALSE,,,,,,,FALSE
96,111,2/16/2023,272,I am eager to contribute my skills to this role.,Pending,2/16/2023,FALSE,,,,,,,FALSE
97,515,07-06-2023,118,I am passionate about this role and ready to make an impact.,Reviewed,07-06-2023,FALSE,07-06-2023,,,,,,FALSE
98,170,2/17/2025,855,I am eager to contribute my skills to this role.,Shortlisted,2/17/2025,TRUE,2/17/2025,2/17/2025,,,,,FALSE
99,529,3/29/2024,71,I am passionate about this role and ready to make an impact.,Pending,3/29/2024,TRUE,,,,,,,FALSE
100,320,03-01-2025,509,Looking forward to bringing my expertise to your organization.,Pending,03-01-2025,FALSE,,,,,,,FALSE
101,538,02-01-2024,334,Looking forward to bringing my expertise to your organization.,Selected,02-01-2024,FALSE,02-01-2024,02-01-2024,02-01-2024,,02-01-2024,,FALSE
102,831,01-09-2025,190,Looking forward to bringing my expertise to your organization.,Interview Proposed,01-09-2025,FALSE,01-09-2025,01-09-2025,01-09-2025,,,,FALSE
103,327,8/17/2024,167,"With my background, I believe I am a strong fit for this position.",Pending,8/17/2024,FALSE,,,,,,,TRUE
104,341,07-06-2024,983,I am eager to contribute my skills to this role.,Rejected,07-06-2024,TRUE,07-06-2024,07-06-2024,07-06-2024,07-06-2024,,,FALSE
105,82,4/26/2023,933,"With my background, I believe I am a strong fit for this position.",Rejected,4/26/2023,TRUE,4/26/2023,4/26/2023,4/26/2023,4/26/2023,,,FALSE
106,351,3/30/2024,933,Looking forward to bringing my expertise to your organization.,Reviewed,3/30/2024,FALSE,3/30/2024,,,,,,FALSE
107,71,10-08-2023,39,Looking forward to bringing my expertise to your organization.,Shortlisted,10-08-2023,TRUE,10-08-2023,10-08-2023,,,,,FALSE
108,361,3/13/2025,881,I am eager to contribute my skills to this role.,Reviewed,3/13/2025,TRUE,3/13/2025,,,,,,FALSE
109,939,6/27/2024,597,I am passionate about this role and ready to make an impact.,Selected,6/27/2024,TRUE,6/27/2024,6/27/2024,6/27/2024,,6/27/2024,,FALSE
110,695,01-07-2025,413,I am passionate about this role and ready to make an impact.,Offered,01-07-2025,TRUE,01-07-2025,01-07-2025,01-07-2025,,01-07-2025,01-07-2025,FALSE
111,939,08-05-2024,749,I am eager to contribute my skills to this role.,Rejected,08-05-2024,TRUE,08-05-2024,08-05-2024,08-05-2024,08-05-2024,,,FALSE
112,107,2/17/2023,274,I am passionate about this role and ready to make an impact.,Selected,2/17/2023,TRUE,2/17/2023,2/17/2023,2/17/2023,,2/17/2023,,TRUE
113,846,05-01-2024,493,"With my background, I believe I am a strong fit for this position.",Selected,05-01-2024,TRUE,05-01-2024,05-01-2024,05-01-2024,,05-01-2024,,FALSE
114,413,11/27/2023,800,"With my background, I believe I am a strong fit for this position.",Selected,11/27/2023,FALSE,11/27/2023,11/27/2023,11/27/2023,,11/27/2023,,FALSE
115,860,7/30/2023,90,Looking forward to bringing my expertise to your organization.,Interview Proposed,7/30/2023,TRUE,7/30/2023,7/30/2023,7/30/2023,,,,TRUE
116,884,3/14/2024,303,Looking forward to bringing my expertise to your organization.,Rejected,3/14/2024,FALSE,3/14/2024,3/14/2024,3/14/2024,3/14/2024,,,FALSE
117,105,07-08-2024,805,I am eager to contribute my skills to this role.,Selected,07-08-2024,TRUE,07-08-2024,07-08-2024,07-08-2024,,07-08-2024,,FALSE
118,412,04-08-2023,194,"With my background, I believe I am a strong fit for this position.",Selected,04-08-2023,FALSE,04-08-2023,04-08-2023,04-08-2023,,04-08-2023,,FALSE
119,838,5/29/2024,334,I am eager to contribute my skills to this role.,Rejected,5/29/2024,TRUE,5/29/2024,5/29/2024,5/29/2024,5/29/2024,,,FALSE
120,41,9/20/2023,52,I am eager to contribute my skills to this role.,Pending,9/20/2023,TRUE,,,,,,,FALSE
121,383,3/17/2024,33,I am eager to contribute my skills to this role.,Selected,3/17/2024,TRUE,3/17/2024,3/17/2024,3/17/2024,,3/17/2024,,FALSE
122,790,06-02-2023,680,"With my background, I believe I am a strong fit for this position.",Reviewed,06-02-2023,TRUE,06-02-2023,,,,,,FALSE
123,701,11/22/2024,867,Looking forward to bringing my expertise to your organization.,Shortlisted,11/22/2024,TRUE,11/22/2024,11/22/2024,,,,,FALSE
124,20,5/19/2024,820,Looking forward to bringing my expertise to your organization.,Shortlisted,5/19/2024,TRUE,5/19/2024,5/19/2024,,,,,FALSE
125,632,1/28/2023,759,"With my background, I believe I am a strong fit for this position.",Reviewed,1/28/2023,TRUE,1/28/2023,,,,,,FALSE
126,484,03-03-2024,678,Looking forward to bringing my expertise to your organization.,Pending,03-03-2024,TRUE,,,,,,,FALSE
127,560,1/20/2023,667,Looking forward to bringing my expertise to your organization.,Rejected,1/20/2023,FALSE,1/20/2023,1/20/2023,1/20/2023,1/20/2023,,,FALSE
128,463,11/24/2023,750,I am passionate about this role and ready to make an impact.,Rejected,11/24/2023,TRUE,11/24/2023,11/24/2023,11/24/2023,11/24/2023,,,FALSE
129,284,8/30/2023,602,I am eager to contribute my skills to this role.,Pending,8/30/2023,TRUE,,,,,,,FALSE
130,21,5/19/2023,911,"With my background, I believe I am a strong fit for this position.",Interview Proposed,5/19/2023,TRUE,5/19/2023,5/19/2023,5/19/2023,,,,FALSE
131,5,4/22/2024,309,"With my background, I believe I am a strong fit for this position.",Reviewed,4/22/2024,TRUE,4/22/2024,,,,,,FALSE
132,672,6/13/2024,724,"With my background, I believe I am a strong fit for this position.",Selected,6/13/2024,TRUE,6/13/2024,6/13/2024,6/13/2024,,6/13/2024,,FALSE
133,14,04-06-2025,393,I am passionate about this role and ready to make an impact.,Shortlisted,04-06-2025,TRUE,04-06-2025,04-06-2025,,,,,FALSE
134,214,12/20/2023,576,"With my background, I believe I am a strong fit for this position.",Shortlisted,12/20/2023,TRUE,12/20/2023,12/20/2023,,,,,FALSE
135,515,03-09-2025,951,Looking forward to bringing my expertise to your organization.,Pending,03-09-2025,TRUE,,,,,,,FALSE
136,946,06-05-2024,817,Looking forward to bringing my expertise to your organization.,Rejected,06-05-2024,FALSE,06-05-2024,06-05-2024,06-05-2024,06-05-2024,,,FALSE
137,816,05-07-2024,943,Looking forward to bringing my expertise to your organization.,Selected,05-07-2024,FALSE,05-07-2024,05-07-2024,05-07-2024,,05-07-2024,,TRUE
138,680,12/27/2023,871,I am passionate about this role and ready to make an impact.,Selected,12/27/2023,FALSE,12/27/2023,12/27/2023,12/27/2023,,12/27/2023,,FALSE
139,481,7/13/2024,829,"With my background, I believe I am a strong fit for this position.",Selected,7/13/2024,TRUE,7/13/2024,7/13/2024,7/13/2024,,7/13/2024,,FALSE
140,433,04-05-2023,682,"With my background, I believe I am a strong fit for this position.",Reviewed,04-05-2023,TRUE,04-05-2023,,,,,,FALSE
141,762,02-02-2025,800,"With my background, I believe I am a strong fit for this position.",Rejected,02-02-2025,FALSE,02-02-2025,02-02-2025,02-02-2025,02-02-2025,,,TRUE
142,815,12-04-2023,438,I am passionate about this role and ready to make an impact.,Shortlisted,12-04-2023,TRUE,12-04-2023,12-04-2023,,,,,FALSE
143,57,02-01-2023,257,I am passionate about this role and ready to make an impact.,Pending,02-01-2023,TRUE,,,,,,,FALSE
144,117,04-09-2024,238,"With my background, I believe I am a strong fit for this position.",Selected,04-09-2024,TRUE,04-09-2024,04-09-2024,04-09-2024,,04-09-2024,,FALSE
145,165,12-01-2023,349,I am eager to contribute my skills to this role.,Rejected,12-01-2023,FALSE,12-01-2023,12-01-2023,12-01-2023,12-01-2023,,,FALSE
146,795,8/22/2024,222,I am eager to contribute my skills to this role.,Selected,8/22/2024,TRUE,8/22/2024,8/22/2024,8/22/2024,,8/22/2024,,FALSE
147,94,11-06-2023,391,"With my background, I believe I am a strong fit for this position.",Reviewed,11-06-2023,FALSE,11-06-2023,,,,,,FALSE
148,117,12/25/2023,762,"With my background, I believe I am a strong fit for this position.",Selected,12/25/2023,TRUE,12/25/2023,12/25/2023,12/25/2023,,12/25/2023,,FALSE
149,166,9/24/2023,833,I am passionate about this role and ready to make an impact.,Shortlisted,9/24/2023,FALSE,9/24/2023,9/24/2023,,,,,FALSE
150,969,7/19/2023,889,I am passionate about this role and ready to make an impact.,Shortlisted,7/19/2023,TRUE,7/19/2023,7/19/2023,,,,,FALSE
151,328,1/19/2023,733,I am eager to contribute my skills to this role.,Offered,1/19/2023,FALSE,1/19/2023,1/19/2023,1/19/2023,,1/19/2023,1/19/2023,FALSE
152,952,3/21/2024,344,"With my background, I believe I am a strong fit for this position.",Reviewed,3/21/2024,TRUE,3/21/2024,,,,,,FALSE
153,593,7/22/2023,952,"With my background, I believe I am a strong fit for this position.",Shortlisted,7/22/2023,FALSE,7/22/2023,7/22/2023,,,,,FALSE
154,195,2/14/2025,581,Looking forward to bringing my expertise to your organization.,Reviewed,2/14/2025,FALSE,2/14/2025,,,,,,FALSE
155,825,2/20/2024,271,Looking forward to bringing my expertise to your organization.,Selected,2/20/2024,FALSE,2/20/2024,2/20/2024,2/20/2024,,2/20/2024,,FALSE
156,907,08-12-2024,726,"With my background, I believe I am a strong fit for this position.",Interview Proposed,08-12-2024,TRUE,08-12-2024,08-12-2024,08-12-2024,,,,FALSE
157,892,12/30/2023,241,Looking forward to bringing my expertise to your organization.,Selected,12/30/2023,TRUE,12/30/2023,12/30/2023,12/30/2023,,12/30/2023,,FALSE
158,552,12/25/2023,900,Looking forward to bringing my expertise to your organization.,Selected,12/25/2023,TRUE,12/25/2023,12/25/2023,12/25/2023,,12/25/2023,,FALSE
159,455,7/23/2024,376,Looking forward to bringing my expertise to your organization.,Offered,7/23/2024,TRUE,7/23/2024,7/23/2024,7/23/2024,,7/23/2024,7/23/2024,TRUE
160,632,8/13/2023,483,"With my background, I believe I am a strong fit for this position.",Offered,8/13/2023,FALSE,8/13/2023,8/13/2023,8/13/2023,,8/13/2023,8/13/2023,FALSE
161,366,1/18/2023,307,Looking forward to bringing my expertise to your organization.,Offered,1/18/2023,TRUE,1/18/2023,1/18/2023,1/18/2023,,1/18/2023,1/18/2023,FALSE
162,913,10/18/2023,447,"With my background, I believe I am a strong fit for this position.",Offered,10/18/2023,FALSE,10/18/2023,10/18/2023,10/18/2023,,10/18/2023,10/18/2023,FALSE
163,984,8/21/2024,75,Looking forward to bringing my expertise to your organization.,Reviewed,8/21/2024,TRUE,8/21/2024,,,,,,FALSE
164,211,3/23/2024,522,"With my background, I believe I am a strong fit for this position.",Offered,3/23/2024,TRUE,3/23/2024,3/23/2024,3/23/2024,,3/23/2024,3/23/2024,TRUE
165,561,4/13/2023,944,I am passionate about this role and ready to make an impact.,Offered,4/13/2023,TRUE,4/13/2023,4/13/2023,4/13/2023,,4/13/2023,4/13/2023,FALSE
166,285,11/30/2024,127,I am eager to contribute my skills to this role.,Reviewed,11/30/2024,TRUE,11/30/2024,,,,,,FALSE
167,450,03-12-2025,996,I am eager to contribute my skills to this role.,Rejected,03-12-2025,TRUE,03-12-2025,03-12-2025,03-12-2025,03-12-2025,,,FALSE
168,837,01-02-2025,590,I am passionate about this role and ready to make an impact.,Offered,01-02-2025,TRUE,01-02-2025,01-02-2025,01-02-2025,,01-02-2025,01-02-2025,FALSE
169,677,05-03-2024,220,"With my background, I believe I am a strong fit for this position.",Interview Proposed,05-03-2024,FALSE,05-03-2024,05-03-2024,05-03-2024,,,,FALSE
170,853,1/16/2023,775,"With my background, I believe I am a strong fit for this position.",Interview Proposed,1/16/2023,TRUE,1/16/2023,1/16/2023,1/16/2023,,,,FALSE
171,291,6/15/2023,697,I am passionate about this role and ready to make an impact.,Shortlisted,6/15/2023,TRUE,6/15/2023,6/15/2023,,,,,FALSE
172,132,4/16/2023,911,"With my background, I believe I am a strong fit for this position.",Offered,4/16/2023,TRUE,4/16/2023,4/16/2023,4/16/2023,,4/16/2023,4/16/2023,FALSE
173,163,01-09-2024,452,Looking forward to bringing my expertise to your organization.,Interview Proposed,01-09-2024,TRUE,01-09-2024,01-09-2024,01-09-2024,,,,FALSE
174,266,3/13/2024,292,"With my background, I believe I am a strong fit for this position.",Shortlisted,3/13/2024,TRUE,3/13/2024,3/13/2024,,,,,FALSE
175,308,02-03-2024,430,I am passionate about this role and ready to make an impact.,Offered,02-03-2024,TRUE,02-03-2024,02-03-2024,02-03-2024,,02-03-2024,02-03-2024,FALSE
176,101,4/24/2023,238,"With my background, I believe I am a strong fit for this position.",Reviewed,4/24/2023,TRUE,4/24/2023,,,,,,FALSE
