GTS_EMPLOYER_COMPANY_DETAILS_ID,GTS_EMPLOYER_ID,GTS_EMPLOYER_COMPANY_ID,GTS_JOB_TITLE_ID,GTS_EMPLOYER_JOB_DESCRIPTION,GTS_EMPLOYER_IS_CURRENTLY_WORKING
170,408,785,480,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
171,12,413,437,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
172,243,188,814,Data Analyst performing data exploration and generating insights.,FALSE
173,483,592,810,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
174,331,823,841,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
175,794,33,411,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
176,926,941,962,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
177,195,947,538,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
178,645,807,44,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
179,750,290,424,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
180,786,828,945,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
181,573,985,879,Product Manager defining product vision and aligning with business goals.,TRUE
182,852,55,101,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
183,121,972,991,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
184,180,58,704,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
185,315,508,587,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
186,480,650,253,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
187,514,952,568,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
188,915,556,579,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
189,120,3,283,Project Manager managing cross-functional teams and project timelines.,TRUE
190,491,140,392,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
191,858,586,375,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
192,922,523,536,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
193,377,363,756,Project Manager managing cross-functional teams and project timelines.,TRUE
194,819,331,522,Project Manager managing cross-functional teams and project timelines.,FALSE
195,263,393,883,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
196,182,789,150,Product Manager defining product vision and aligning with business goals.,FALSE
197,50,668,390,Data Analyst performing data exploration and generating insights.,FALSE
198,557,705,814,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
199,300,573,135,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
200,53,968,469,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
201,89,440,787,Project Manager managing cross-functional teams and project timelines.,FALSE
202,977,788,950,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
203,374,172,447,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
204,365,662,67,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
205,648,890,602,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
206,83,920,432,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
207,376,810,858,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
208,390,595,433,Project Manager managing cross-functional teams and project timelines.,TRUE
209,800,649,470,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
210,414,759,820,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
211,390,959,944,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
212,513,486,210,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
213,762,216,308,Product Manager defining product vision and aligning with business goals.,TRUE
214,168,86,89,Project Manager managing cross-functional teams and project timelines.,TRUE
215,122,760,72,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
216,65,200,218,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
217,623,369,726,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
218,102,985,93,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
219,756,670,388,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
220,23,990,615,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
221,371,820,487,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
222,12,371,738,Product Manager defining product vision and aligning with business goals.,FALSE
223,637,328,730,Product Manager defining product vision and aligning with business goals.,FALSE
224,945,717,1,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
225,44,761,76,Data Analyst performing data exploration and generating insights.,FALSE
226,164,473,656,Data Analyst performing data exploration and generating insights.,FALSE
227,125,269,573,Project Manager managing cross-functional teams and project timelines.,TRUE
228,501,858,80,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
229,259,195,10,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
230,251,624,710,Data Analyst performing data exploration and generating insights.,FALSE
231,369,998,637,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
232,37,670,863,Project Manager managing cross-functional teams and project timelines.,FALSE
233,952,734,17,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
234,948,33,847,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
235,258,85,357,Product Manager defining product vision and aligning with business goals.,TRUE
236,129,834,936,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
237,420,843,946,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
238,931,131,21,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
239,836,591,665,Product Manager defining product vision and aligning with business goals.,TRUE
240,818,662,529,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
241,943,501,497,Project Manager managing cross-functional teams and project timelines.,FALSE
242,385,58,585,Data Analyst performing data exploration and generating insights.,TRUE
243,826,364,415,Product Manager defining product vision and aligning with business goals.,TRUE
244,772,794,60,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
245,112,719,282,Project Manager managing cross-functional teams and project timelines.,TRUE
246,421,287,114,Data Analyst performing data exploration and generating insights.,FALSE
247,693,38,813,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
248,750,505,265,Product Manager defining product vision and aligning with business goals.,FALSE
249,376,199,233,Project Manager managing cross-functional teams and project timelines.,FALSE
250,713,59,460,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
251,383,689,326,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
252,168,86,558,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
253,545,237,315,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
254,172,653,226,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
255,902,257,697,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
256,441,674,449,Project Manager managing cross-functional teams and project timelines.,TRUE
257,861,523,141,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
258,962,719,159,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
259,177,862,615,Data Analyst performing data exploration and generating insights.,TRUE
260,514,957,175,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
261,761,621,476,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
262,885,715,949,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
263,442,942,108,Product Manager defining product vision and aligning with business goals.,FALSE
264,930,485,474,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
265,800,976,603,Project Manager managing cross-functional teams and project timelines.,TRUE
266,590,481,831,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
267,645,187,160,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
268,144,400,605,Data Analyst performing data exploration and generating insights.,TRUE
269,151,839,918,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
270,146,776,574,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
271,865,475,615,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
272,109,671,228,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
273,306,938,7,Data Analyst performing data exploration and generating insights.,TRUE
274,434,90,734,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
275,157,146,828,Data Analyst performing data exploration and generating insights.,FALSE
276,884,979,578,Project Manager managing cross-functional teams and project timelines.,TRUE
277,449,849,322,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
278,164,109,361,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
279,470,147,261,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
280,162,91,71,Project Manager managing cross-functional teams and project timelines.,TRUE
281,782,227,764,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
282,387,334,975,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
283,302,360,17,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
284,138,246,364,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
285,568,836,918,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
286,159,714,400,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
287,884,683,630,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
288,451,843,842,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
289,601,952,671,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
290,458,995,224,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
291,905,803,326,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
292,805,914,683,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
293,308,887,777,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
294,143,149,662,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
295,473,459,145,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
296,418,545,974,Project Manager managing cross-functional teams and project timelines.,TRUE
297,408,684,244,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
298,63,109,702,Project Manager managing cross-functional teams and project timelines.,FALSE
299,822,878,189,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
300,347,514,230,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
301,896,59,142,Data Analyst performing data exploration and generating insights.,FALSE
302,400,372,793,Data Analyst performing data exploration and generating insights.,TRUE
303,593,150,652,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
304,219,718,771,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
305,993,858,665,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
306,327,199,926,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
307,849,661,741,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
308,379,858,682,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
309,612,541,309,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
310,484,441,959,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
311,117,424,799,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
312,547,613,786,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
313,215,979,340,Data Analyst performing data exploration and generating insights.,FALSE
314,902,123,948,Project Manager managing cross-functional teams and project timelines.,TRUE
315,700,907,787,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
316,987,781,420,Project Manager managing cross-functional teams and project timelines.,TRUE
317,829,240,527,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
318,998,199,186,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
319,533,831,643,Project Manager managing cross-functional teams and project timelines.,FALSE
320,748,648,777,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
321,274,808,47,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
322,647,866,265,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
323,710,814,245,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
324,532,71,769,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
325,551,755,421,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
326,462,475,382,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
327,658,541,628,Data Analyst performing data exploration and generating insights.,TRUE
328,301,246,526,Project Manager managing cross-functional teams and project timelines.,TRUE
329,113,730,257,Project Manager managing cross-functional teams and project timelines.,FALSE
330,613,342,698,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
331,370,571,660,Data Analyst performing data exploration and generating insights.,FALSE
332,520,832,544,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
333,650,105,911,Project Manager managing cross-functional teams and project timelines.,FALSE
334,620,685,457,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
335,958,903,286,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
336,366,377,487,Product Manager defining product vision and aligning with business goals.,TRUE
337,525,575,227,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
338,49,678,367,Data Analyst performing data exploration and generating insights.,TRUE
339,342,90,621,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
340,642,809,837,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
341,323,428,107,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
342,274,927,448,Project Manager managing cross-functional teams and project timelines.,FALSE
343,414,963,472,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
344,254,975,537,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
345,338,394,753,Project Manager managing cross-functional teams and project timelines.,TRUE
346,607,328,171,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
347,519,648,100,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
348,320,808,27,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
349,993,143,332,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
350,881,190,899,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
351,692,84,47,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
352,852,607,806,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
353,624,475,302,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
354,294,619,97,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
355,611,615,760,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
356,294,534,582,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
357,74,812,681,Product Manager defining product vision and aligning with business goals.,FALSE
358,451,138,915,Data Analyst performing data exploration and generating insights.,FALSE
359,630,982,7,Project Manager managing cross-functional teams and project timelines.,TRUE
360,551,418,90,Project Manager managing cross-functional teams and project timelines.,TRUE
361,323,736,343,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
362,451,899,365,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
363,746,661,837,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
364,204,175,669,Data Analyst performing data exploration and generating insights.,TRUE
365,621,81,998,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
366,194,981,865,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
367,656,569,574,Project Manager managing cross-functional teams and project timelines.,TRUE
368,546,650,431,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
369,495,157,138,Product Manager defining product vision and aligning with business goals.,FALSE
370,244,522,976,Project Manager managing cross-functional teams and project timelines.,FALSE
371,855,24,492,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
