GTS_TRAINING_VIDEO_ID,GTS_TRAINING_VIDEO_NAME,GTS_TRAINING_VIDEO_DESCRIPTION,GTS_TRAINING_VIDEO_PATH,GTS_TRAINING_VIDEO_UPLOADED_DATE,GTS_TRAINING_VIDEO_IS_ACTIVE
22,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,11/28/2024,FALSE
23,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,3/13/2025,FALSE
24,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,8/22/2024,FALSE
25,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,05-07-2024,TRUE
26,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,7/26/2024,FALSE
27,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,12-02-2024,TRUE
28,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,5/15/2024,TRUE
29,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,7/28/2024,TRUE
30,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,10/25/2024,TRUE
31,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,08-02-2024,TRUE
32,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,02-01-2025,FALSE
33,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,06-12-2024,FALSE
34,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,11-06-2024,FALSE
35,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,9/13/2024,TRUE
36,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,1/20/2025,TRUE
37,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,02-01-2025,FALSE
38,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,08-06-2024,FALSE
39,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,4/13/2025,FALSE
40,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,05-10-2024,TRUE
41,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,12/15/2024,TRUE
42,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,1/27/2025,TRUE
43,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,07-07-2024,TRUE
44,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,8/29/2024,FALSE
45,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,2/20/2025,FALSE
46,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,7/14/2024,FALSE
47,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,5/31/2024,FALSE
48,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,05-11-2024,TRUE
49,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,09-10-2024,FALSE
50,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,9/27/2024,FALSE
51,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,8/14/2024,FALSE
52,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,4/27/2024,TRUE
53,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,10-11-2024,TRUE
54,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,10-09-2024,TRUE
55,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,3/17/2025,FALSE
56,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,11/23/2024,TRUE
57,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,03-01-2025,FALSE
58,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,5/22/2024,FALSE
59,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,6/20/2024,FALSE
60,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,9/28/2024,TRUE
61,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,5/22/2024,TRUE
62,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,7/14/2024,TRUE
63,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,12-03-2024,FALSE
64,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,5/20/2024,TRUE
65,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,04-02-2025,FALSE
66,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,7/18/2024,TRUE
67,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,1/19/2025,FALSE
68,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,11/14/2024,FALSE
69,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,6/29/2024,FALSE
70,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,11-05-2024,FALSE
71,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,5/26/2024,TRUE
72,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,05-11-2024,FALSE
73,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,01-08-2025,TRUE
74,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,11/17/2024,FALSE
75,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,12/18/2024,FALSE
76,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,04-08-2025,TRUE
77,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,03-02-2025,TRUE
78,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,9/29/2024,TRUE
79,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,01-05-2025,TRUE
80,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,08-10-2024,FALSE
81,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,3/21/2025,FALSE
82,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,4/14/2025,FALSE
83,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,2/23/2025,FALSE
84,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,10/14/2024,FALSE
85,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,06-09-2024,FALSE
86,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,12-11-2024,FALSE
87,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,11-01-2024,TRUE
88,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,7/20/2024,FALSE
89,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,01-10-2025,FALSE
90,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,10/14/2024,FALSE
91,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,03-10-2025,TRUE
92,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,9/29/2024,TRUE
93,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,5/16/2024,TRUE
94,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,01-08-2025,TRUE
95,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,4/16/2024,FALSE
96,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,3/24/2025,FALSE
97,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,7/23/2024,TRUE
98,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,5/19/2024,TRUE
99,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,11/24/2024,FALSE
100,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,2/13/2025,FALSE
101,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,3/26/2025,FALSE
102,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,11/18/2024,FALSE
103,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,04-04-2025,TRUE
104,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,01-10-2025,FALSE
105,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,05-08-2024,FALSE
106,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,1/16/2025,FALSE
107,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,11-05-2024,TRUE
108,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,5/19/2024,TRUE
109,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,10-01-2024,FALSE
110,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,12/24/2024,TRUE
111,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,07-10-2024,TRUE
112,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,03-11-2025,FALSE
113,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,02-07-2025,FALSE
114,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,09-02-2024,FALSE
115,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,04-11-2025,TRUE
116,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,08-01-2024,TRUE
117,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,5/17/2024,TRUE
118,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,5/31/2024,TRUE
119,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,02-09-2025,FALSE
120,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,12/15/2024,TRUE
121,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,07-10-2024,FALSE
122,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,9/16/2024,TRUE
123,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,4/21/2024,TRUE
124,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,1/18/2025,FALSE
125,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,02-03-2025,FALSE
126,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,01-04-2025,FALSE
127,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,12-02-2024,FALSE
128,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,1/31/2025,TRUE
129,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,08-10-2024,FALSE
130,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,2/18/2025,FALSE
131,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,10/30/2024,TRUE
132,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,8/21/2024,TRUE
133,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,4/24/2024,FALSE
134,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,6/19/2024,TRUE
135,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,08-04-2024,TRUE
136,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,7/22/2024,TRUE
137,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,07-08-2024,TRUE
138,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,11-10-2024,TRUE
139,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,4/28/2024,TRUE
140,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,2/17/2025,TRUE
141,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,8/20/2024,FALSE
142,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,03-03-2025,FALSE
143,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,11/14/2024,TRUE
144,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,09-03-2024,TRUE
145,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,5/27/2024,FALSE
146,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,01-06-2025,TRUE
147,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,1/19/2025,FALSE
148,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,08-01-2024,TRUE
149,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,11-03-2024,FALSE
150,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,12-12-2024,FALSE
151,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,07-10-2024,TRUE
152,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,1/22/2025,TRUE
153,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,08-06-2024,TRUE
154,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,07-04-2024,FALSE
155,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,08-06-2024,FALSE
156,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,05-02-2024,FALSE
157,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,7/18/2024,TRUE
158,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,01-12-2025,TRUE
159,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,12/29/2024,FALSE
160,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,8/19/2024,TRUE
161,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,7/23/2024,FALSE
162,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,4/25/2024,TRUE
163,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,11-10-2024,TRUE
164,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,09-05-2024,TRUE
165,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,10/31/2024,FALSE
166,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,5/24/2024,TRUE
167,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,10-11-2024,TRUE
168,Cloud Computing with AWS - Video 2,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,2/27/2025,FALSE
169,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,9/29/2024,TRUE
170,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,2/15/2025,FALSE
171,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,11/28/2024,TRUE
172,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,10/13/2024,TRUE
173,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,5/25/2024,FALSE
174,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,12/19/2024,TRUE
175,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,07-12-2024,FALSE
176,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,2/24/2025,FALSE
177,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,3/19/2025,TRUE
178,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,5/31/2024,FALSE
179,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,4/17/2024,FALSE
180,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,07-03-2024,TRUE
