GTS_TRAINING_ID,GTS_TRAINING_NAME,GTS_TRAINING_DESCRIPTION,GTS_TRAINING_STATUS,GTS_TRAINING_FEES,GTS_TRAINING_DURATION,GTS_TRAINING_FEES_CURRENCY
121,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,16056.2,2 months,EUR
122,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,15934.32,2 months,SGD
123,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,5998.09,12 months,HUF
124,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,3406.9,6 months,KWD
125,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,13672.53,4 months,ZAR
126,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,12987.58,2 months,BGN
127,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,2979.52,2 months,SEK
128,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,7319.24,9 months,AUD
129,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,3795.3,2 months,IDR
130,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,2965.42,9 months,CNY
131,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,2090.13,6 months,SAR
132,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,1552.12,4 months,USD
133,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,5508.75,12 months,MXN
134,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,11086.17,9 months,INR
135,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,8489.25,6 months,IDR
136,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,19127.84,6 months,ARS
137,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,1154.66,2 months,USD
138,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,9741.43,4 months,KRW
139,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,10384.41,2 months,SEK
140,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,13133,2 months,UAH
141,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,9729.01,12 months,CHF
142,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,4191.53,12 months,BRL
143,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,8257.43,6 months,RUB
144,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,10994.61,2 months,ARS
145,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,14390.53,4 months,ZAR
146,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,9518.11,2 months,SGD
147,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,14420.13,9 months,TWD
148,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,15231.73,4 months,TWD
149,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,15820.08,4 months,CHF
150,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,8391.83,6 months,GBP
151,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,1226.4,2 months,RON
152,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,8584.45,6 months,PKR
153,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,2635.55,4 months,MYR
154,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,16807.07,9 months,PEN
155,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,1951.24,2 months,KWD
156,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,15048.77,3 months,USD
157,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,19389.75,4 months,CLP
158,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,3075.59,9 months,NZD
159,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,14889.82,12 months,RUB
160,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,10999.71,12 months,KES
161,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,1613.59,4 months,AED
162,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,11055.04,9 months,NZD
163,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,9684.79,6 months,JPY
164,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,5744.27,6 months,KRW
165,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,19107.13,6 months,VND
166,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,1875.4,4 months,ZAR
167,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,5224.08,4 months,BHD
168,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,16235.46,2 months,PEN
169,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,12063.55,4 months,TWD
170,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,9453.93,9 months,DKK
171,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,16020.15,2 months,NGN
172,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,16137.38,4 months,TWD
173,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,9965.29,3 months,CAD
174,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,11871.91,9 months,CHF
175,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,5527.35,4 months,CLP
176,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,15037.45,4 months,CHF
177,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,18919.88,3 months,GBP
178,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,15975.47,9 months,CNY
179,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,18319.79,2 months,SAR
180,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,1408.2,3 months,PEN
181,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,19405.93,12 months,CAD
182,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,3658.9,2 months,BRL
183,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,8922.14,3 months,INR
184,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,5064.17,3 months,KES
185,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,9666.28,12 months,HKD
186,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,8412.41,9 months,BDT
187,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,16190.74,9 months,VND
188,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,7883.35,9 months,NZD
189,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,2743.36,12 months,CHF
190,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,18172.52,2 months,TWD
191,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,10174.34,6 months,ZAR
192,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,10531.49,6 months,ILS
193,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,4478.78,9 months,CHF
194,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,2475.43,6 months,JPY
195,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,4846.63,9 months,HKD
196,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,8400.23,3 months,CHF
197,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,1842.01,3 months,LKR
198,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,8939.97,3 months,KWD
199,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,3936,12 months,THB
200,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,7277.55,12 months,COP
201,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,19793.78,12 months,NZD
202,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,7241.03,2 months,ARS
203,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,7824.57,2 months,ARS
204,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,11464.81,6 months,EGP
205,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,10002.38,12 months,CHF
206,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,18361.55,9 months,PKR
207,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,3894.82,2 months,BHD
208,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,18057.57,6 months,AUD
209,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,8436.8,6 months,IDR
210,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,19170.31,2 months,ILS
211,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,10624.52,12 months,HUF
212,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,12955.22,6 months,KRW
213,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,11596.54,4 months,SGD
214,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,10913.5,3 months,HKD
215,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,859.95,9 months,PEN
216,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,7699.31,6 months,PEN
217,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,14502.57,12 months,RUB
218,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,13022.67,3 months,MYR
219,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,3493.61,6 months,PKR
220,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,12122.31,6 months,ZAR
221,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,6038.36,6 months,PLN
222,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,3623.05,3 months,KRW
223,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,9443.91,6 months,QAR
224,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,6869.66,2 months,JPY
225,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,2670.1,2 months,NOK
226,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,3867,3 months,USD
227,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,11953,2 months,HUF
228,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,2037.34,9 months,ARS
229,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,18774.95,2 months,PEN
230,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,11743.73,2 months,DKK
231,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,1216.24,12 months,INR
232,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,16557.66,2 months,THB
233,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,11793.24,2 months,OMR
234,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,1580.89,4 months,CAD
235,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,10076.4,12 months,THB
236,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,5511.27,3 months,NZD
237,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,17257.86,3 months,SAR
238,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,12995.64,2 months,MAD
239,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,17874.96,12 months,MYR
240,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,15513.65,6 months,PKR
241,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,621.95,4 months,COP
242,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,14261.18,4 months,LKR
243,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,14509.48,6 months,SAR
244,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,3887.03,12 months,SEK
245,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,16351.52,12 months,KES
246,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,519.86,4 months,IDR
247,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,16865.48,12 months,BGN
248,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,4952.47,6 months,BGN
249,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,4601.69,3 months,PEN
250,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,6995.6,9 months,AUD
251,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,18382.6,3 months,THB
252,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,12748.83,4 months,HKD
253,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,17456.3,12 months,AUD
254,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,13807.24,6 months,VND
255,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,5593.17,3 months,OMR
256,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,11518.9,6 months,KRW
