GTS_USER_WORK_EXPERIENCE_ID,GTS_USER_ID,GTS_USER_COMPANY_ID,GTS_USER_JOB_TITLE_ID,GTS_USER_PROJECT_SKILL_IDS,GTS_USER_JOB_DESCRIPTION,GTS_USER_WORK_START_DATE,IS_CURRENTLY_WORKING,GTS_USER_WORK_END_DATE,GTS_CITY_ID,IS_SELF_EMPLOYED
61,296,,121,"476,395,79",Developed user-centric frontend applications.,11-08-2011,TRUE,,528,FALSE
62,802,,833,"3,28,143",Oversaw quality assurance and testing processes.,09-08-2014,TRUE,,833,FALSE
63,220,344,100,"23,24,90,415",Led DevOps efforts across multiple environments.,05-12-2010,TRUE,,65,TRUE
64,916,,357,"29,42,20,297",Led DevOps efforts across multiple environments.,7/24/2017,FALSE,7/24/2020,372,TRUE
65,91,,172,"3,42,88,229",Managed cross-functional agile teams.,12-05-2017,FALSE,12-05-2020,,FALSE
66,67,,699,"29,126,26",Oversaw quality assurance and testing processes.,10-02-2011,FALSE,10-02-2012,431,TRUE
67,675,,549,"2,50,463",Automated reporting and data visualization tasks.,1/25/2013,TRUE,,208,TRUE
68,289,837,72,"2,63,54,239",Developed user-centric frontend applications.,5/24/2021,TRUE,,415,FALSE
69,874,528,135,"30,34,74,312",Designed and deployed scalable backend services.,9/19/2012,FALSE,9/19/2013,,FALSE
70,742,664,882,"91,176,69",Oversaw quality assurance and testing processes.,02-10-2018,TRUE,,295,FALSE
71,933,333,943,"26,22,20,359",Automated reporting and data visualization tasks.,05-03-2016,FALSE,05-03-2018,713,FALSE
72,310,,463,"3,36,17,190",Managed cross-functional agile teams.,8/19/2023,FALSE,8/19/2027,688,TRUE
73,643,311,474,"80,220",Led DevOps efforts across multiple environments.,5/31/2021,TRUE,,681,TRUE
74,444,654,367,"70,392",Developed user-centric frontend applications.,09-06-2022,FALSE,09-06-2026,3,TRUE
75,346,644,666,167,Led DevOps efforts across multiple environments.,11/24/2011,TRUE,,469,TRUE
76,407,,709,92,Oversaw quality assurance and testing processes.,12-01-2019,FALSE,12-01-2020,415,FALSE
77,585,821,897,"485,48",Managed cross-functional agile teams.,7/16/2013,FALSE,7/16/2014,389,FALSE
78,372,876,198,"288,418,23",Designed and deployed scalable backend services.,10/28/2013,TRUE,,309,TRUE
79,193,326,138,"289,58",Managed cross-functional agile teams.,8/14/2019,FALSE,8/14/2023,896,TRUE
80,36,995,736,"326,11",Managed cross-functional agile teams.,01-06-2021,FALSE,01-06-2022,996,TRUE
81,672,,414,464,Led DevOps efforts across multiple environments.,6/25/2022,TRUE,,106,TRUE
82,345,894,864,"2,07,226",Oversaw quality assurance and testing processes.,8/28/2012,FALSE,8/28/2014,767,TRUE
83,389,792,536,"215,46,23",Led DevOps efforts across multiple environments.,01-08-2018,TRUE,,175,FALSE
84,883,,879,169,Designed and deployed scalable backend services.,12-09-2018,TRUE,,658,FALSE
85,944,479,844,"451,428,10",Led DevOps efforts across multiple environments.,06-09-2019,TRUE,,199,FALSE
86,712,520,513,63,Managed cross-functional agile teams.,05-05-2017,TRUE,,330,FALSE
87,862,521,528,"35,73,34,383",Managed cross-functional agile teams.,3/16/2021,FALSE,3/16/2024,,FALSE
88,408,,651,65,Managed cross-functional agile teams.,3/18/2014,TRUE,,618,FALSE
89,93,,455,"2,87,178",Managed cross-functional agile teams.,6/24/2017,FALSE,6/24/2022,,FALSE
90,412,709,551,"29,44,79,299",Managed cross-functional agile teams.,11-03-2019,FALSE,11-03-2024,194,TRUE
91,410,843,384,"27,22,83,124",Led DevOps efforts across multiple environments.,8/17/2012,TRUE,,817,FALSE
92,866,823,1,"1,57,77,322",Oversaw quality assurance and testing processes.,2/16/2022,TRUE,,,TRUE
93,692,,301,"3,63,39,479",Automated reporting and data visualization tasks.,1/24/2013,FALSE,1/24/2014,231,FALSE
94,226,767,649,"4,87,360",Led DevOps efforts across multiple environments.,06-06-2011,FALSE,06-06-2013,634,TRUE
95,877,995,442,"35,23,54,483",Oversaw quality assurance and testing processes.,2/18/2023,FALSE,2/18/2025,,TRUE
96,979,,539,391,Oversaw quality assurance and testing processes.,09-03-2019,FALSE,09-03-2024,997,TRUE
97,869,536,142,"449,68",Designed and deployed scalable backend services.,3/28/2016,FALSE,3/28/2017,146,FALSE
98,385,652,831,432,Developed user-centric frontend applications.,11-08-2022,TRUE,,,TRUE
99,412,263,507,447,Managed cross-functional agile teams.,1/31/2010,TRUE,,837,TRUE
100,29,,982,"382,99",Managed cross-functional agile teams.,03-12-2022,TRUE,,702,TRUE
101,886,20,680,"49,62,93,231",Oversaw quality assurance and testing processes.,4/17/2019,TRUE,,462,TRUE
102,386,82,593,"2,55,452",Automated reporting and data visualization tasks.,5/25/2010,TRUE,,441,FALSE
103,368,,186,"47,73,48,453",Developed user-centric frontend applications.,6/30/2012,FALSE,6/30/2014,831,FALSE
104,621,,224,"276,15",Automated reporting and data visualization tasks.,06-06-2022,TRUE,,583,FALSE
105,766,,678,"39,31,69,421",Designed and deployed scalable backend services.,09-05-2013,FALSE,09-05-2016,442,TRUE
106,790,372,300,"366,5",Developed user-centric frontend applications.,6/26/2013,TRUE,,366,FALSE
107,452,,585,232,Developed user-centric frontend applications.,06-01-2011,FALSE,06-01-2013,,TRUE
108,129,,938,"5,72,54,386",Automated reporting and data visualization tasks.,3/18/2016,FALSE,3/18/2020,,TRUE
109,234,607,931,5,Oversaw quality assurance and testing processes.,01-03-2023,TRUE,,,FALSE
110,869,,469,430,Managed cross-functional agile teams.,5/28/2011,FALSE,5/28/2016,375,TRUE
111,28,,664,423,Automated reporting and data visualization tasks.,6/28/2016,TRUE,,523,FALSE
112,722,935,439,469,Oversaw quality assurance and testing processes.,12/26/2020,FALSE,12/26/2022,178,TRUE
113,92,,913,"2,10,455",Automated reporting and data visualization tasks.,5/25/2015,FALSE,5/25/2017,,FALSE
114,672,,442,"24,63,65,417",Developed user-centric frontend applications.,1/22/2021,TRUE,,198,FALSE
115,301,,355,476,Automated reporting and data visualization tasks.,6/23/2023,TRUE,,456,FALSE
116,547,515,691,112,Led DevOps efforts across multiple environments.,03-02-2021,FALSE,03-02-2022,741,FALSE
117,277,,685,"3,84,120",Designed and deployed scalable backend services.,2/23/2021,FALSE,2/23/2022,,FALSE
118,244,747,579,55,Managed cross-functional agile teams.,10-12-2014,TRUE,,238,FALSE
119,815,,989,"4,76,307",Oversaw quality assurance and testing processes.,5/18/2018,TRUE,,766,FALSE
120,263,885,701,"1,49,159",Developed user-centric frontend applications.,03-01-2011,TRUE,,898,FALSE
121,425,442,877,324,Automated reporting and data visualization tasks.,7/14/2021,TRUE,,588,TRUE
122,323,908,156,298,Managed cross-functional agile teams.,2/13/2010,TRUE,,521,FALSE
123,640,,345,"5,02,96,304",Managed cross-functional agile teams.,9/15/2021,TRUE,,15,FALSE
124,407,864,646,"2,57,312",Automated reporting and data visualization tasks.,2/15/2019,TRUE,,360,FALSE
125,138,560,243,"46,93,60,250",Led DevOps efforts across multiple environments.,4/26/2022,TRUE,,927,TRUE
126,469,928,606,"34,6,84",Automated reporting and data visualization tasks.,07-01-2017,TRUE,,575,TRUE
127,369,857,905,"8,02,25,191",Developed user-centric frontend applications.,2/19/2017,TRUE,,447,FALSE
128,143,,381,182,Developed user-centric frontend applications.,10/24/2013,TRUE,,315,TRUE
129,709,550,976,"43,62,48,152",Oversaw quality assurance and testing processes.,11/26/2013,TRUE,,459,FALSE
130,831,19,106,"45,84,82,498",Designed and deployed scalable backend services.,1/21/2010,TRUE,,691,FALSE
131,703,596,228,382,Led DevOps efforts across multiple environments.,09-12-2014,FALSE,09-12-2018,656,FALSE
132,488,262,555,"56,40,408",Designed and deployed scalable backend services.,09-12-2014,FALSE,09-12-2017,933,FALSE
133,712,819,390,"19,53,86,381",Developed user-centric frontend applications.,01-03-2019,FALSE,01-03-2021,274,TRUE
134,497,576,676,"53,57",Developed user-centric frontend applications.,10-11-2021,FALSE,10-11-2026,,FALSE
135,814,,991,"33,71,45,330",Led DevOps efforts across multiple environments.,3/28/2019,FALSE,3/28/2020,254,TRUE
136,366,,576,35,Automated reporting and data visualization tasks.,05-04-2011,TRUE,,559,TRUE
137,719,423,239,"1,33,217",Developed user-centric frontend applications.,07-03-2014,FALSE,07-03-2019,786,FALSE
138,976,231,891,204,Automated reporting and data visualization tasks.,02-10-2022,FALSE,02-10-2024,947,TRUE
139,866,339,546,403,Led DevOps efforts across multiple environments.,5/14/2019,TRUE,,891,TRUE
140,285,41,64,273,Managed cross-functional agile teams.,11/26/2010,FALSE,11/26/2012,951,FALSE
141,628,,192,486,Oversaw quality assurance and testing processes.,10-10-2023,TRUE,,581,TRUE
142,1000,,961,"33,73,34,297",Oversaw quality assurance and testing processes.,3/15/2015,TRUE,,645,FALSE
143,202,789,156,471,Oversaw quality assurance and testing processes.,2/20/2018,TRUE,,281,FALSE
144,505,291,978,"32,64,74,243",Developed user-centric frontend applications.,05-04-2018,TRUE,,594,FALSE
145,876,709,908,"1,78,177",Managed cross-functional agile teams.,9/25/2016,FALSE,9/25/2021,128,FALSE
146,780,,859,"6,42,72,452",Managed cross-functional agile teams.,02-06-2020,TRUE,,,TRUE
147,285,103,559,254,Designed and deployed scalable backend services.,03-02-2021,TRUE,,792,FALSE
148,687,,819,"1,45,419",Developed user-centric frontend applications.,9/15/2022,TRUE,,209,TRUE
149,923,409,112,"36,04,09,433",Developed user-centric frontend applications.,3/24/2014,FALSE,3/24/2016,939,TRUE
150,986,,335,279,Managed cross-functional agile teams.,08-07-2013,FALSE,08-07-2015,555,FALSE
151,879,702,665,"48,02,96,258",Designed and deployed scalable backend services.,9/23/2015,TRUE,,431,TRUE
152,143,,941,41,Designed and deployed scalable backend services.,05-04-2014,FALSE,05-04-2015,407,TRUE
153,806,,243,"3,98,268",Managed cross-functional agile teams.,11-04-2010,TRUE,,,FALSE
154,585,,683,"35,81,71,191",Designed and deployed scalable backend services.,10/13/2016,TRUE,,324,TRUE
155,376,,333,"333,420,13",Designed and deployed scalable backend services.,02-01-2019,FALSE,02-01-2024,360,TRUE
156,411,,907,"1,87,204",Managed cross-functional agile teams.,7/16/2010,FALSE,7/16/2014,,TRUE
157,846,,777,"82,428",Oversaw quality assurance and testing processes.,11-08-2013,FALSE,11-08-2018,348,TRUE
158,221,,307,"3,51,321",Led DevOps efforts across multiple environments.,3/18/2023,FALSE,3/18/2025,576,TRUE
159,429,,312,284,Developed user-centric frontend applications.,1/20/2020,TRUE,,105,FALSE
160,81,,277,483,Developed user-centric frontend applications.,02-07-2014,TRUE,,284,TRUE
161,344,757,970,"41,32,41,380",Designed and deployed scalable backend services.,05-12-2018,FALSE,05-12-2022,433,TRUE
162,626,981,391,270,Designed and deployed scalable backend services.,5/18/2015,FALSE,5/18/2018,467,FALSE
163,547,15,975,"4,82,165",Designed and deployed scalable backend services.,12-05-2013,TRUE,,685,FALSE
164,580,291,426,"67,335",Automated reporting and data visualization tasks.,6/16/2016,TRUE,,440,FALSE
165,825,931,524,"40,64,97,238",Automated reporting and data visualization tasks.,12/13/2017,TRUE,,469,FALSE
166,380,171,625,"26,58,229",Managed cross-functional agile teams.,3/24/2023,TRUE,,231,TRUE
167,887,997,201,"365,124,25",Developed user-centric frontend applications.,4/30/2015,TRUE,,38,TRUE
168,431,,231,"34,257",Managed cross-functional agile teams.,12/17/2019,FALSE,12/17/2024,820,FALSE
169,5,676,752,"1,70,384",Oversaw quality assurance and testing processes.,6/21/2014,TRUE,,373,TRUE
170,992,,379,"339,13",Designed and deployed scalable backend services.,7/20/2014,TRUE,,578,TRUE
171,79,,708,245,Managed cross-functional agile teams.,02-03-2023,FALSE,02-03-2026,316,TRUE
172,820,502,25,"153,28",Automated reporting and data visualization tasks.,7/13/2016,FALSE,7/13/2018,715,TRUE
173,768,395,70,"9,02,04,430",Automated reporting and data visualization tasks.,5/15/2012,TRUE,,519,TRUE
174,969,97,82,"7,42,32,167",Designed and deployed scalable backend services.,5/31/2019,FALSE,5/31/2020,822,FALSE
175,26,515,576,"32,71,87,328",Managed cross-functional agile teams.,6/25/2013,FALSE,6/25/2015,164,FALSE
176,462,65,327,"4,78,491",Led DevOps efforts across multiple environments.,4/19/2017,TRUE,,641,FALSE
177,597,,904,"26,23,15,439",Oversaw quality assurance and testing processes.,8/24/2011,TRUE,,302,TRUE
178,702,919,417,202,Led DevOps efforts across multiple environments.,07-09-2018,TRUE,,411,TRUE
179,337,92,762,"1,36,280",Developed user-centric frontend applications.,8/25/2015,FALSE,8/25/2016,437,FALSE
180,206,740,811,"1,87,441",Developed user-centric frontend applications.,06-01-2014,TRUE,,482,TRUE
181,21,224,416,"2,89,305",Automated reporting and data visualization tasks.,11/20/2016,FALSE,11/20/2017,393,TRUE
182,715,537,106,"2,48,170",Oversaw quality assurance and testing processes.,05-03-2017,TRUE,,434,TRUE
183,985,314,184,"434,35",Developed user-centric frontend applications.,11-09-2023,TRUE,,897,TRUE
184,790,,489,272,Designed and deployed scalable backend services.,1/27/2010,FALSE,1/27/2012,334,TRUE
185,608,394,892,45,Designed and deployed scalable backend services.,02-10-2010,FALSE,02-10-2011,488,FALSE
186,396,,464,"227,36",Developed user-centric frontend applications.,12/17/2010,TRUE,,33,FALSE
187,927,,255,"1,49,102",Designed and deployed scalable backend services.,5/16/2022,TRUE,,382,TRUE
188,889,379,450,452,Developed user-centric frontend applications.,04-02-2019,TRUE,,526,FALSE
189,180,71,733,"270,151,39",Automated reporting and data visualization tasks.,1/18/2019,TRUE,,912,TRUE
190,279,239,368,"445,72",Automated reporting and data visualization tasks.,5/20/2013,TRUE,,125,FALSE
191,177,,68,"1,97,321",Designed and deployed scalable backend services.,7/22/2023,TRUE,,982,TRUE
192,410,,666,396,Oversaw quality assurance and testing processes.,4/17/2011,TRUE,,650,FALSE
193,868,976,605,"22,43,71,182",Managed cross-functional agile teams.,12-06-2019,FALSE,12-06-2021,744,TRUE
194,649,229,759,"1,21,363",Automated reporting and data visualization tasks.,11/25/2018,FALSE,11/25/2022,1000,TRUE
195,438,,564,"63,66,469",Oversaw quality assurance and testing processes.,09-12-2018,FALSE,09-12-2023,,TRUE
196,393,180,718,"3,65,234",Led DevOps efforts across multiple environments.,09-09-2020,FALSE,09-09-2025,638,FALSE
197,206,147,714,"40,299",Designed and deployed scalable backend services.,3/19/2014,FALSE,3/19/2018,219,TRUE
198,917,823,292,"11,28,380",Managed cross-functional agile teams.,10/14/2014,FALSE,10/14/2018,898,FALSE
199,28,,22,39,Automated reporting and data visualization tasks.,6/14/2010,TRUE,,970,FALSE
200,127,412,380,"98,64",Oversaw quality assurance and testing processes.,08-06-2017,FALSE,08-06-2021,614,TRUE
201,150,711,543,183,Designed and deployed scalable backend services.,5/27/2014,TRUE,,,TRUE
202,918,629,875,440,Managed cross-functional agile teams.,6/14/2010,TRUE,,883,FALSE
203,792,253,317,"14,64,59,238",Developed user-centric frontend applications.,6/13/2016,TRUE,,755,TRUE
204,557,319,146,402,Automated reporting and data visualization tasks.,12/14/2021,FALSE,12/14/2026,856,TRUE
205,506,824,184,363,Managed cross-functional agile teams.,06-09-2015,TRUE,,746,FALSE
206,957,372,267,"237,29,60",Managed cross-functional agile teams.,2/17/2016,FALSE,2/17/2018,31,FALSE
207,158,202,35,273,Automated reporting and data visualization tasks.,9/17/2011,FALSE,9/17/2012,358,FALSE
208,958,,689,489,Designed and deployed scalable backend services.,06-07-2015,FALSE,06-07-2019,723,FALSE
209,602,81,138,278,Designed and deployed scalable backend services.,05-07-2021,FALSE,05-07-2024,989,FALSE
210,908,641,572,"13,11,42,416",Oversaw quality assurance and testing processes.,6/30/2020,FALSE,6/30/2023,,TRUE
211,796,926,291,"38,53,09,318",Led DevOps efforts across multiple environments.,3/30/2010,TRUE,,877,TRUE
212,451,,182,235,Developed user-centric frontend applications.,6/22/2018,TRUE,,,TRUE
213,204,486,768,"4,35,113",Oversaw quality assurance and testing processes.,02-09-2021,FALSE,02-09-2022,433,FALSE
214,481,293,876,"18,13,12,117",Designed and deployed scalable backend services.,08-03-2016,FALSE,08-03-2018,464,FALSE
215,116,452,930,"8,78,83",Managed cross-functional agile teams.,08-12-2014,TRUE,,775,FALSE
216,255,,570,"1,25,152",Oversaw quality assurance and testing processes.,11/17/2012,FALSE,11/17/2017,,FALSE
217,866,,982,"47,12,36,464",Automated reporting and data visualization tasks.,1/22/2020,TRUE,,858,TRUE
218,63,504,922,"4,17,160",Oversaw quality assurance and testing processes.,05-11-2016,TRUE,,854,TRUE
219,424,749,312,"1,32,348",Automated reporting and data visualization tasks.,4/23/2020,TRUE,,409,TRUE
220,451,64,983,"9,61,20,461",Designed and deployed scalable backend services.,12-08-2010,FALSE,12-08-2015,468,TRUE
221,234,120,479,418,Managed cross-functional agile teams.,12-10-2023,TRUE,,796,TRUE
222,314,267,65,"11,82,49,426",Led DevOps efforts across multiple environments.,5/13/2019,FALSE,5/13/2020,576,TRUE
223,359,900,410,"23,01,36,440",Designed and deployed scalable backend services.,10-12-2022,TRUE,,979,TRUE
224,10,681,241,"2,48,99,223",Managed cross-functional agile teams.,10/24/2018,FALSE,10/24/2022,736,TRUE
225,518,357,169,"7,11,70,403",Led DevOps efforts across multiple environments.,07-04-2023,FALSE,07-04-2028,,FALSE
226,758,68,663,"3,469",Designed and deployed scalable backend services.,10/26/2017,FALSE,10/26/2022,679,FALSE
227,960,886,918,368,Developed user-centric frontend applications.,06-11-2019,FALSE,06-11-2022,135,TRUE
228,6,196,392,"156,95",Oversaw quality assurance and testing processes.,05-07-2017,FALSE,05-07-2018,790,TRUE
229,175,965,673,382,Automated reporting and data visualization tasks.,10/14/2015,TRUE,,565,TRUE
230,577,,266,"3,27,390",Designed and deployed scalable backend services.,11-11-2021,TRUE,,,TRUE
231,330,565,162,"75,303,74",Automated reporting and data visualization tasks.,9/22/2011,FALSE,9/22/2014,68,TRUE
232,848,458,403,"21,14,84,260",Automated reporting and data visualization tasks.,08-12-2013,TRUE,,11,FALSE
233,313,842,865,"2,30,148",Designed and deployed scalable backend services.,10-03-2011,TRUE,,803,TRUE
234,701,120,777,"135,66",Led DevOps efforts across multiple environments.,12-05-2012,FALSE,12-05-2014,830,TRUE
235,725,643,224,377,Oversaw quality assurance and testing processes.,03-09-2020,TRUE,,,TRUE
236,660,,134,"2,26,397",Designed and deployed scalable backend services.,2/21/2021,FALSE,2/21/2025,583,FALSE
237,580,,318,"2,06,276",Oversaw quality assurance and testing processes.,06-11-2012,FALSE,06-11-2017,312,FALSE
238,598,267,267,275,Oversaw quality assurance and testing processes.,5/26/2021,FALSE,5/26/2026,330,FALSE
239,650,594,546,"327,63,16",Led DevOps efforts across multiple environments.,06-11-2017,TRUE,,113,TRUE
240,269,713,874,"329,403,27",Automated reporting and data visualization tasks.,05-05-2010,TRUE,,,FALSE
241,296,383,867,"393,66",Designed and deployed scalable backend services.,12-06-2019,FALSE,12-06-2022,,FALSE
242,716,278,116,"228,65",Designed and deployed scalable backend services.,12/22/2022,TRUE,,,FALSE
243,376,119,988,"2,46,214",Led DevOps efforts across multiple environments.,8/25/2019,FALSE,8/25/2022,606,FALSE
244,163,346,518,405,Designed and deployed scalable backend services.,04-10-2020,FALSE,04-10-2021,943,TRUE
245,634,639,226,"2,34,29,243",Developed user-centric frontend applications.,3/18/2017,TRUE,,20,TRUE
246,369,,291,"1,06,247",Automated reporting and data visualization tasks.,02-01-2019,TRUE,,477,TRUE
247,343,,827,"324,70",Oversaw quality assurance and testing processes.,4/15/2018,TRUE,,206,TRUE
248,307,1000,738,490,Automated reporting and data visualization tasks.,3/26/2020,TRUE,,122,TRUE
249,519,,981,"33,54,25,164",Designed and deployed scalable backend services.,5/29/2018,FALSE,5/29/2023,41,FALSE
250,10,369,679,"251,245,73",Designed and deployed scalable backend services.,2/14/2022,TRUE,,779,TRUE
251,432,585,94,"4,09,489",Led DevOps efforts across multiple environments.,11/27/2014,TRUE,,841,TRUE
252,924,781,649,"137,285,88",Oversaw quality assurance and testing processes.,09-02-2019,FALSE,09-02-2023,271,TRUE
253,939,862,426,"3,95,132",Led DevOps efforts across multiple environments.,05-07-2010,FALSE,05-07-2013,381,TRUE
254,264,696,524,"34,44,88,316",Oversaw quality assurance and testing processes.,01-03-2018,FALSE,01-03-2022,427,TRUE
255,699,,124,"1,40,410",Automated reporting and data visualization tasks.,11/22/2012,FALSE,11/22/2015,721,FALSE
256,912,,867,"4,10,40,340",Led DevOps efforts across multiple environments.,08-01-2017,TRUE,,,TRUE
257,824,,679,"4,81,38,331",Automated reporting and data visualization tasks.,8/24/2022,TRUE,,,TRUE
258,285,275,272,87,Oversaw quality assurance and testing processes.,09-06-2013,FALSE,09-06-2018,553,FALSE
259,138,164,370,"4,06,485",Managed cross-functional agile teams.,06-01-2015,FALSE,06-01-2017,948,TRUE
260,686,,71,"1,38,312",Managed cross-functional agile teams.,09-01-2020,FALSE,09-01-2024,847,TRUE
261,680,666,524,"3,54,30,443",Automated reporting and data visualization tasks.,9/22/2016,TRUE,,259,FALSE
262,63,,269,"2,61,307",Developed user-centric frontend applications.,07-04-2010,TRUE,,641,FALSE
263,368,,502,"30,360,59",Managed cross-functional agile teams.,07-11-2023,TRUE,,889,TRUE
